Protein ID,Gene name,Hep G2,HepA,LX2,Liver,PorV,hHEP,hHSC,hHSC TWNT4,hKC,hLSEC,hLSEC SK Hep1,Protein name
Q96JQ0,DCHS1,,10982000,,,,8761800,,,,46704000,,Protocadherin-16
Q9BXS6-2,NUSAP1,251050000,11325000,2009400000,6729700,9807400,8839200,10609000,17837000,30315000,13079000,12125000,Nucleolar and spindle-associated protein 1
F5GX51,FAM65B,26849000,46933000,,22969000,,8852200,35186000,,68687000,,,Protein FAM65B
Q6ZYL4,GTF2H5,26578000,11743000,,,,9025500,,12267000,,,43690000,General transcription factor IIH subunit 5
Q14761,PTPRCAP,,,,59664000,,9274900,,,567200000,,,Protein tyrosine phosphatase receptor type C-associated protein
A4D104,LOC401307,32099000,90099000,39536000,29603000,72864000,9445250,42259000,26706000,34179000,31187000,48205000,UBAP1-MVB12-associated (UMA)-domain containing protein 1
Q30154,HLA-DRB5,,,9949300,8750300,,9521550,,,10871000,11459300,10415000,"HLA class II histocompatibility antigen, DR beta 5 chain"
F5GZG1,RAP1B,5816000,24818100,11015000,21399000,18865000,9532400,84135000,3586700,409120000,15629900,19181000,
F8W930,IGF2BP2,3910000000,10215600,3052000000,36371500,27785500,9599700,1054400000,878690000,73150000,3885200000,2815300000,Insulin-like growth factor 2 mRNA-binding protein 2
Q96E29,MTERF3,13544000,,14361000,,,9958700,26348000,24476000,,111320000,,"Transcription termination factor 3, mitochondrial"
F6SYP7,DGCR2,4361800,,,14821000,,9969000,21349000,,,,,Integral membrane protein DGCR2/IDD
P01303,NPY,2674200,18273500,,12539000,219625000,10031000,2381900,3873700,10012600,10871650,33320000,Pro-neuropeptide Y
Q13555-9,CAMK2G,,,,,,10069000,,,,,,Calcium/calmodulin-dependent protein kinase type II subunit gamma
Q9UKY1,ZHX1,,,,16055500,,10142000,9233100,,,16161000,,Zinc fingers and homeoboxes protein 1
Q07507,DPT,,3338100000,229260000,522225000,5093700000,10165000,3403200,15559000,7507800,7750950,,Dermatopontin
Q8NDV7-2,TNRC6A,12508000,,13922000,,,10327000,13666000,9683200,,22585000,13389000,Trinucleotide repeat-containing gene 6A protein
O60496,DOK2,21043000,19670000,16038000,142640000,17318500,10452000,11233000,10045000,1040800000,33302000,11027000,Docking protein 2
O60512,B4GALT3,51708000,,,11809000,,10609950,19732000,,24543500,45791000,11348000,"Beta-1,4-galactosyltransferase 3"
F5H070,KDM3A,549840000,13182000,134240000,15474000,,10745000,24110000,15948000,15891000,30630500,11374000,Lysine-specific demethylase 3A
P52739-2,ZNF131,41840000,,33346000,,,10807000,17349000,,37970000,21072000,36471000,Zinc finger protein 131
P01859,IGHG2,50383000,13289500000,43053000,3122150000,9122650000,10814000,10545000,35634000,31030000,18032350,80091000,Ig gamma-2 chain C region
Q9GZU3,TMEM39B,,,,,,10890000,11303000,,,18135000,11072000,Transmembrane protein 39B
P30203-5,CD6,,,,8878300,,11064000,11227000,8406100,,,,T-cell differentiation antigen CD6
Q5KSL6,DGKK,25997000,,,,,11093000,9918200,8887200,,,,Diacylglycerol kinase kappa
Q14766,LTBP1,34947000,5797750000,52143000,1295825000,3227150000,11099000,74101000,630740000,32698000,204140000,46699000,Latent-transforming growth factor beta-binding protein 1
H0YKG7,TINF2,,,,,,11108000,,,,,,TERF1-interacting nuclear factor 2
Q969U6-2,FBXW5,11693000,,,15572000,,11284000,15803500,17540000,9958500,,11298000,F-box/WD repeat-containing protein 5
Q8TCA0,LRRC20,126860000,33867000,155920000,52934000,47694000,11351000,13371000,16711000,23027000,,224620000,Leucine-rich repeat-containing protein 20
Q30167,HLA-DRB1,15586000,44614000,5848700,9017650,127150000,11463050,10010000,,19581000,,15718000,"HLA class II histocompatibility antigen, DRB1-10 beta chain"
Q8NFT2-2,STEAP2,17482000,,25630000,22808000,35854000,11479000,53063000,90733000,,128991500,,Metalloreductase STEAP2
Q8N4X5,AFAP1L2,21874000,31623000,65855000,44735000,,11630000,,7926300,14926000,16592000,915520000,Actin filament-associated protein 1-like 2
Q13231-3,CHIT1,18524000,32987500,,33002000,43498500,11641000,8730450,8121400,366260000,16217500,6549600,Chitotriosidase-1
D3YTC7,PEMT,7829800,,,43130000,,11644000,,11351000,,,,Phosphatidylethanolamine N-methyltransferase
M0QZJ5,SLC25A23,,,,,,11669500,,,,,,Calcium-binding mitochondrial carrier protein SCaMC-3
Q8WWK9-6,CKAP2,190590000,,874750000,26568000,,11712000,25459000,19271000,,29399000,16861000,Cytoskeleton-associated protein 2
Q5T3U5-2,ABCC10,13003000,29941500,21383000,20214000,14675500,11764500,117910000,22138000,54847000,42953000,14273000,Multidrug resistance-associated protein 7
Q96A00,PPP1R14A,17993000,3088000000,41012000,67018000,1964050000,11775000,17407000,15826000,29601000,32387300,17691000,Protein phosphatase 1 regulatory subunit 14A
Q7Z5H3,ARHGAP22,17164000,32251000,56971000,31438000,21184000,11861500,64372000,779280000,28670000,80958000,466570000,Rho GTPase-activating protein 22
Q5Y7A7,HLA-DRB1,14710000,14529000,,19219300,94197000,11871000,7028950,,1137300000,8807000,23222000,"HLA class II histocompatibility antigen, DRB1-13 beta chain"
Q7Z6I8,C5orf24,36665000,16289000,45368000,10671000,,11929000,22228500,14839000,,87196000,48149000,UPF0461 protein C5orf24
Q14393-2,GAS6,26869000,63740500,22388000,31388500,27921500,11946000,561990000,1218400000,59093000,42047000,579580000,Growth arrest-specific protein 6
O94925-3,GLS,762020000,33733000,50518000,15079000,79240000,11998000,699550000,1031600000,,25003000,453480000,"Glutaminase kidney isoform, mitochondrial"
P25067,COL8A2,23399000,2978350000,83046000,67775000,1728350000,12144000,19203000,34854000,168460000,,47625000,Collagen alpha-2(VIII) chain
Q96CS2,HAUS1,117720000,103796500,112140000,39890000,299670000,12178000,50973000,83140000,56278000,98711000,78919000,HAUS augmin-like complex subunit 1
Q96FX7,TRMT61A,241630000,60834000,118880000,46088000,44405000,12301000,51589000,56228000,68209000,53987000,259750000,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A
O60427,FADS1,19230000,,,,,12321000,12939000,,,137762500,,Fatty acid desaturase 1
P43405,SYK,32539000,44530500,28739000,285715000,60328500,12343000,31083000,16277000,2603300000,49609300,25623000,Tyrosine-protein kinase SYK
Q9ULD4,BRPF3,42363000,,,10625300,,12352000,16855500,,,20173000,,Bromodomain and PHD finger-containing protein 3
Q13489,BIRC3,,,,,,12559000,,,,,,Baculoviral IAP repeat-containing protein 3
Q14116,IL18,14120000,40729500,37652000,162395000,34481000,12642000,27192500,34617000,411360000,21825000,426710000,Interleukin-18
Q9Y3C7,MED31,20322000,,31381000,30018000,,12739500,19875000,47196000,,56480000,31603000,Mediator of RNA polymerase II transcription subunit 31
P80365,HSD11B2,,,,,,12870000,,,,,,Corticosteroid 11-beta-dehydrogenase isozyme 2
Q9BWE0,REPIN1,22635000,,29366000,32015000,,12930000,16413000,16110000,67665000,61888000,22905000,Replication initiator 1
Q5VVQ6,YOD1,16450000,95684000,21111000,20243500,,12935000,14653000,,15195500,,,Ubiquitin thioesterase OTU1
Q9H765,ASB8,,,,,,13029000,27266000,,,,,Ankyrin repeat and SOCS box protein 8
Q15032-2,R3HDM1,10914000,,,,,13071000,,31918000,,,,R3H domain-containing protein 1
A0A286YF37,FBXO2,2527300000,37556000,69188000,114850000,58151000,13090550,15491750,8439300,16929750,12509700,31654000,F-box only protein 2
E5RGW4,NPM1,,,,,,13127000,,,,,,
B5MED8,SORCS2,19339000,13741000,18606000,16480000,12045500,13173550,359950000,11302000,18024500,15803000,47360000,VPS10 domain-containing receptor SorCS2
G3V511,LTBP2,29629000,6274950000,67661000,857060000,3543050000,13177000,515400000,333610000,39128000,188820000,17907000,Latent-transforming growth factor beta-binding protein 2
P0C2W1,FBXO45,,,,12180000,17228000,13293000,23753000,,13826500,,9579200,F-box/SPRY domain-containing protein 1
Q53FA7,TP53I3,206360000,90615000,174330000,322745000,92295000,13306000,746640000,1056900000,226670000,301900000,528860000,Quinone oxidoreductase PIG3
E7EVX2,GOLGA4,,175630000,15178000,,689710000,13378000,531470000,24686000,,,,
P09105,HBQ1,6627700,96211500,,24819000,94822500,13611000,12585000,18071000,,9178700,,Hemoglobin subunit theta-1
Q96D09,GPRASP2,7918800,,48898000,12081500,,13652000,9232900,22188000,,26008000,97404000,G-protein coupled receptor-associated sorting protein 2
P10915,HAPLN1,13497000,147968500,21968000,13454500,13392000,13691000,15731150,76419000,21154000,11296000,,Hyaluronan and proteoglycan link protein 1
Q9BRR8,GPATCH1,83826000,,38824000,39788000,,13696000,,28470000,72544000,,71430000,G patch domain-containing protein 1
Q5SVS4,SLC25A30,,,,,,13729000,17900000,,28866000,25216000,,Kidney mitochondrial carrier protein 1
P04279,SEMG1,,14883000,,,,13733000,20219650,,,16308000,,Semenogelin-1
Q9NQG1,MANBAL,52220000,35566000,117590000,31275000,24235000,13768000,303790000,144570000,28168000,566960000,32279000,Protein MANBAL
J3KNE2,INO80E,11789000,,19186000,11756000,,13805000,9433000,,17819000,21179500,22309000,INO80 complex subunit E
R4GNJ5,ACD,13339000,,48318000,,,13849000,13000500,18897000,17374000,24763000,15152000,Adrenocortical dysplasia protein homolog
O15040-2,TECPR2,18627000,21484500,26921000,43720000,27692000,13934000,32445000,25565000,,31885000,15827000,Tectonin beta-propeller repeat-containing protein 2
Q6ZVX7,NCCRP1,,,,,,13961000,,,,,,F-box only protein 50
Q9Y5H2,PCDHGA11,,,,,,14018000,,,,,,Protocadherin gamma-A11
Q9NQP4,PFDN4,650480000,157475000,434210000,178390000,187040000,14026500,98331000,545320000,19903000,102520000,764710000,Prefoldin subunit 4
Q9Y2D0,CA5B,27567000,10610000,,,39084500,14092000,24912000,,39777000,,,"Carbonic anhydrase 5B, mitochondrial"
Q16769,QPCT,,45415500,,15652750,28210500,14119200,,6683600,179000000,,,Glutaminyl-peptide cyclotransferase
Q3KQZ1-3,SLC25A35,17913000,,,11380000,10381000,14130000,18197500,6622800,63041000,46619000,68053000,Solute carrier family 25 member 35
A0A0G2JPR7,KIR2DL3,,,,,,14135000,,,23406000,,,Killer cell immunoglobulin-like receptor 2DS2
P07738,BPGM,86030000,1129645000,118090000,426465000,975740000,14251000,59720000,224170000,69219000,18577000,70990000,Bisphosphoglycerate mutase
Q9H2W1,MS4A6A,,,,25952500,22469000,14457000,,,51994000,,,Membrane-spanning 4-domains subfamily A member 6A
Q8IWE2-2,FAM114A1,,,,,,14498000,,,,,,Protein NOXP20
Q9BT88,SYT11,10441000,14856000,5977500,9019700,6744200,14521000,105930000,7920100,,21748000,10512000,Synaptotagmin-11
Q8IZF2,GPR116,11989000,18330000,11349000,27128000,17702500,14667000,60436500,,10878000,784075500,,Probable G-protein coupled receptor 116
H7C5F7,NDFIP2,24982000,57769000,,,,14806000,60795000,19486000,54916000,40137500,,NEDD4 family-interacting protein 2
H0YI12,CTDSP2,,,,20083000,,14811000,28959000,,,15172000,,Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2
P50443,SLC26A2,17781000,,41637000,12690000,,14859000,49965000,18961000,,79816000,73557000,Sulfate transporter
A0A0B4J1V9,HELLS,1127500000,15836000,324630000,10825250,16661500,14976000,14163000,22875000,28955000,22237000,12877000,Lymphoid-specific helicase
Q8WVX3,C4orf3,,,,,,15006000,42638000,,,72715000,,Uncharacterized protein C4orf3
S4R303,SORBS1,22969000,937520000,,12365500,1452000000,15064000,47379500,,,,,
Q9BUL9,RPP25,61628000,24970500,15490000,15850000,,15085000,54715000,52676000,15781500,81454000,168920000,Ribonuclease P protein subunit p25
O14746,TERT,15203000,47655000,21114000,16293500,39172000,15111050,26177000,2241000000,16444000,20082000,,Telomerase reverse transcriptase
P25024,CXCR1,,,,,,15117000,,,38461000,,,C-X-C chemokine receptor type 1
Q9NSA3,CTNNBIP1,94881000,44747000,12332000,17295000,68924000,15207000,,,23059000,28265000,40397000,Beta-catenin-interacting protein 1
A0A0A0MS09,IGHD,42392000,393985000,22863000,106830000,108895000,15309000,18948000,39095000,87950000,32435000,43012000,Ig delta chain C region
Q6UWZ7,FAM175A,28381000,26784500,23152000,8600700,29408000,15356000,16296000,25061000,22253000,41106000,,BRCA1-A complex subunit Abraxas
P57679,EVC,,,,,,15462000,131510000,,,,24179000,Ellis-van Creveld syndrome protein
Q02763-2,TEK,22707000,27345000,15769000,20089500,66421000,15564000,98935000,12265000,30250000,127160000,14301000,Angiopoietin-1 receptor
Q8IUW3,SPATA2L,,,,,,15715000,11885000,16118000,,,,Spermatogenesis-associated protein 2-like protein
Q86WX3,RPS19BP1,201220000,,15772000,22548000,,15748000,73779000,33495000,24238000,194520000,132780000,Active regulator of SIRT1
P04271,S100B,17088000,758515000,9388800,21371500,375770000,15786450,14799000,17439000,190200000,15456000,8502500,Protein S100-B
P55317-2,FOXA1,94725000,,,8632600,,15816000,,,,,,Hepatocyte nuclear factor 3-alpha
O00472,ELL2,40270000,34079000,35548000,,,15857000,22612000,15504000,,22449000,15000000,RNA polymerase II elongation factor ELL2
Q7L2Z9,CENPQ,32363000,,75701000,,,16078000,26909000,29873000,,,,Centromere protein Q
P56559,ARL4C,,,23802000,44408000,,16093000,22155500,,35682000,,107700000,ADP-ribosylation factor-like protein 4C
O15231-3,ZNF185,65016000,63828500,1745900000,116340000,155205000,16149000,213650000,551160000,223900000,413030000,1541900000,
Q96IK1,BOD1,45299000,,51618000,23033000,,16209000,18899000,46467000,22049000,17599000,26259000,Biorientation of chromosomes in cell division protein 1
Q15771,RAB30,,,31225000,18346000,28596000,16229000,30935000,64922000,,17870000,10248000,Ras-related protein Rab-30
Q9UBP6,METTL1,552750000,100395500,209300000,85971000,56687000,16229000,82387000,133840000,79712000,89335000,403990000,tRNA (guanine-N(7)-)-methyltransferase
E9PHY5,EPB41L2,170390000,97201500,108770000,66929500,62408000,16296000,90058000,66813000,107327500,69432500,43178000,Band 4.1-like protein 2
E7ENL6,COL6A3,,3444150000,,1406810000,4487150000,16356750,75012000,428020000,,75862000,25594000,Collagen alpha-3(VI) chain
J3KSZ8,MSL1,47534000,,71315000,24608000,34634000,16391500,31668000,23503000,36385000,95043000,22628000,Male-specific lethal 1 homolog
P06753-6,P06753-6,10442000,124994500,21100000,17924000,23936500,16423000,28685500,,51145000,14959000,,
A0A0A0MT36,IGKV6D-21,15778000,130000000,,26822500,132366000,16426000,53966000,,53646000,,22093000,
F5GZK2,COL21A1,3425300,2218450000,4011400,23722000,1903750000,16436000,21010000,6286500,31496800,17289000,2690400,Collagen alpha-1(XXI) chain
E9PGF5,TNS1,,185500000,35745000,77308500,143765000,16528500,89250550,44006000,,17944000,,
Q9BXS4,TMEM59,162080000,30409500,79738000,32069500,25242000,16545000,806580000,312650000,29450000,89046000,85331000,Transmembrane protein 59
O43665-3,RGS10,20081000,80474000,178990000,98255500,53401500,16633000,51328000,176310000,270990000,80738000,152670000,Regulator of G-protein signaling 10
Q86XC5,TMEM97,,,,,,16637000,,,,,,
P15502-4,ELN,44190000,37029500000,25254000,1647950000,33877000000,16654000,19795000,33554000,16541000,3897100,16432000,Elastin
Q96CP2,FLYWCH2,95303000,47244000,237790000,80044500,53133000,16682500,45024000,81432000,60102000,71829000,134130000,FLYWCH family member 2
I3L0P6,TRAP1,,,,,,16697000,,,,,,
Q9UGQ3-2,SLC2A6,4907300,,10332000,7504600,20008000,16699500,137165000,,6657700,39431000,57797000,"Solute carrier family 2, facilitated glucose transporter member 6"
Q96BW1,UPRT,30156000,,56568000,36853500,,16729000,34524000,30865000,57445000,28180000,31081000,Uracil phosphoribosyltransferase homolog
A8MQ02,MLLT4,57753000,,23825000,45503000,,16788000,15738000,,,,,
Q8N135,LGI4,11018000,294120000,8605700,77735500,211805000,16827000,37727000,26770000,44131000,44283000,49016000,Leucine-rich repeat LGI family member 4
Q96LC7-9,SIGLEC10,,50430500,,22474000,,16829000,,25595000,134800000,,14111000,Sialic acid-binding Ig-like lectin 10
Q8N2G6,ZCCHC24,,,8800700,,,16856500,37668000,31063000,,16043000,,Zinc finger CCHC domain-containing protein 24
Q96ST8,CEP89,,,21436000,,,16869000,17179000,14415000,,42593000,,Centrosomal protein of 89 kDa
Q9BXJ2,C1QTNF7,39115000,337960000,13032000,29229000,129460000,16881000,44091000,42077000,10584000,,16756000,Complement C1q tumor necrosis factor-related protein 7
P58511,SMIM11,46069000,6846200,10947000,6846900,24297000,16896000,40854000,17682000,27528000,,21111000,Small integral membrane protein 11
Q9Y3Q3,TMED3,188880000,34739000,55156000,52978500,22139000,16914000,472860000,124720000,80873000,381980000,86717000,Transmembrane emp24 domain-containing protein 3
Q8WWA1-2,TMEM40,7626900,,7418400,6687850,,16953000,13196000,,14387500,,963240000,Transmembrane protein 40
F6V803,ADAMTS13,8453900,,,9293450,,16990500,8472800,,68685000,,,A disintegrin and metalloproteinase with thrombospondin motifs 13
P0DJ93,SMIM13,47866000,,,43014500,,17009000,51297000,40121000,20604000,111529000,61914000,Small integral membrane protein 13
Q8IX19,MCEMP1,24614000,24269000,13727000,15692000,21374000,17014000,15906500,14984000,926530000,13569000,,Mast cell-expressed membrane protein 1
Q9BS91,SLC35A5,10895000,,,,,17073000,21285000,,14401000,16978000,15624000,Probable UDP-sugar transporter protein SLC35A5
P30825,SLC7A1,159980000,137590000,304110000,24506000,180230000,17076000,410160000,424060000,,346970000,251370000,High affinity cationic amino acid transporter 1
O75177,SS18L1,96732000,40535000,42252000,56526000,,17081000,,20880000,16811000,,20132000,Calcium-responsive transactivator
Q6AI08,HEATR6,261600000,27420500,462270000,39934000,70870000,17105000,61016000,146490000,45027000,73936000,167160000,HEAT repeat-containing protein 6
P55056,APOC4,,36906500,,21364000,30577000,17186000,,,,,,Apolipoprotein C-IV
P12882,MYH1,50991000,25898500,5487500,32797000,66551000,17194000,52921000,28940000,13064000,25993000,14482000,Myosin-1
Q8N884-2,MB21D1,17799000,33776000,22189000,24985000,29402000,17247000,20022000,,64140000,50727000,30495000,Cyclic GMP-AMP synthase
O94856-9,NFASC,28147000,55193500,35239000,126464000,160215000,17295000,749880000,14567000,52605000,17710000,22530000,Neurofascin
Q9HBA0-4,TRPV4,,26107000,,25890000,,17324000,22866000,23866000,31928000,45151000,,Transient receptor potential cation channel subfamily V member 4
F2Z3K5,RPN2,,,,,,17362000,,,,,,
Q96QE2,SLC2A13,34686000,44469500,22110000,34144000,28156000,17427000,77286000,68380000,,29054000,13423000,Proton myo-inositol cotransporter
Q9UEW3-2,MARCO,,49576000,31478000,63138000,,17437000,19444000,,139130000,22883000,18533000,Macrophage receptor MARCO
Q8N0Z3,SPICE1,,,49580000,35432000,,17452000,28266000,,32610500,54624000,,Spindle and centriole-associated protein 1
O95136,S1PR2,,,,14188000,,17463000,30248000,26820000,,,,Sphingosine 1-phosphate receptor 2
Q9NXC2,GFOD1,,22777000,,24628500,25870000,17491000,12997000,,33550500,63662500,,Glucose-fructose oxidoreductase domain-containing protein 1
Q9NPA2,MMP25,25806000,23446000,19669000,,,17536000,,,36796000,,23785000,Matrix metalloproteinase-25
O75264,SMIM24,,,,,,17565500,,,,,,Small integral membrane protein 24
A6NJG2,SOWAHD,24835000,,16431000,16251000,,17601000,,15649000,61841000,,77957000,Ankyrin repeat domain-containing protein SOWAHD
Q9Y2B9,PKIG,32829000,133515000,95570000,28874500,105858000,17603000,22756000,33497000,,32991000,31128000,cAMP-dependent protein kinase inhibitor gamma
Q9BT25-2,HAUS8,56796000,,78041000,30756000,,17613000,21520500,34785000,,,30943000,HAUS augmin-like complex subunit 8
A0A0A6YY99,TNFSF12-TNFSF13,21231000,875300000,3053000,17547000,614675000,17629750,114210000,83379000,39817000,,11183000,Tumor necrosis factor ligand superfamily member 12
E7EWQ5,MAST4,22903000,42787000,26680000,37164000,,17668500,40716000,21034000,,98813000,11476000,Microtubule-associated serine/threonine-protein kinase 4
Q9GIY3,HLA-DRB1,,38284500,,190389000,153372950,17678000,16673000,,29890500,,,"HLA class II histocompatibility antigen, DRB1-14 beta chain"
Q14511-3,NEDD9,218270000,,20409000,26215000,76672000,17679000,13781000,18332000,,,10805000,Enhancer of filamentation 1
E7EPS7,TM2D3,112470000,,,13408000,,17682000,,11950000,25756000,10512000,47726000,TM2 domain-containing protein 3
P09493-7,P09493-7,20133000,34190000000,50528000,58725500,8761500000,17726000,75039000,140420000,23089000,14212750,31710000,
H0YIQ8,KANSL2,20696000,,17340000,18797000,,17770000,13123000,11678000,23121000,18761000,13697000,KAT8 regulatory NSL complex subunit 2
Q05D32,CTDSPL2,197280000,94518500,330830000,47036500,74480000,17781000,42642000,116410000,105250000,94241000,83721000,CTD small phosphatase-like protein 2
P42773,CDKN2C,54119000,107608000,85126000,62966500,130970000,17782000,39766000,81885000,46134000,71780000,47225000,Cyclin-dependent kinase 4 inhibitor C
A8MUA9,SUMO3,32318000,80686500,673970000,112502000,63381500,17789000,167290000,499410000,221850000,101480000,617540000,Small ubiquitin-related modifier 3
J3KTA1,FBXL20,35581000,74890500,87365000,46345000,147240000,17883500,127070000,156070000,73402500,141475000,61741000,F-box/LRR-repeat protein 20
Q9BW19,KIFC1,7001900000,11946000,8213600000,52719000,14136750,17952000,58816000,267340000,46345000,449344000,159800000,Kinesin-like protein KIFC1
Q53FP2,TMEM35,,57654500,,,106852000,18044000,53891500,18202000,,102990000,16492000,Transmembrane protein 35
E7EVZ1,ZFHX4,29156000,25323000,12417000,,,18067000,64198500,35198000,,22748000,16271000,Zinc finger homeobox protein 4
Q8IYS1,PM20D2,471600000,61551500,574320000,55184500,54148000,18071500,32636850,34352000,30861000,40598000,89875000,Peptidase M20 domain-containing protein 2
Q9HCJ6,VAT1L,15815000,102904000,349750000,33987000,71817500,18077000,19669000,2936500000,24003000,10805800,8553000,Synaptic vesicle membrane protein VAT-1 homolog-like
P69892,HBG2,21189000,13440850000,36721000,2555200000,10974550000,18103000,17664000,17324000,6133400,18373000,13870000,Hemoglobin subunit gamma-2
A0A087WXD1,SLC9A7,8713500,43727000,80132000,26561000,36287000,18121000,181060000,170180000,,100719500,128870000,Sodium/hydrogen exchanger
A0A0B4J297,NAA38,11822000,13286000,43993000,16292500,,18166500,35161000,16391000,,,20639000,"N-alpha-acetyltransferase 38, NatC auxiliary subunit"
Q86UR1,NOXA1,,,,,,18221500,,,,,,NADPH oxidase activator 1
Q99504-5,EYA3,136040000,41403000,104650000,27685000,50671000,18292000,32321000,29492000,24451000,48393000,34586000,Eyes absent homolog 3
Q00722-3,PLCB2,56697000,31444500,55155000,224455000,36203500,18297000,100920000,75393000,3148500000,49986000,167670000,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2"
Q8IUC4,RHPN2,99218000,69563000,20237000,26938000,,18307000,26983000,,19512500,26685500,15566000,Rhophilin-2
Q63HQ2-2,EGFLAM,15679000,23703000,,22222000,,18317000,,14741000,29560500,,,Pikachurin
