MouseGeneID,HumanOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability)
66694,7386,Uqcrfs1,4430402G14Rik|AI875505,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,41.8598,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",ENSMUSG00000038462,Q9CR68,274,2,MitoDomain,48,,OrthologMitoHighConf,Ortholog,75-100pure,chr13,30540311,30545316,14,28,3522,2.78E+11,77,all 14,10.5,10.4,10.7,10.2,10.5,10.3,10.5,9.7,10,10.2,10.1,10,10.1,10,Mitochondria (Approved)
12850,10229,Coq7,clk-|clk-1,demethyl-Q 7,MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,Tmito,41.8598,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",ENSMUSG00000030652,P97478,217,2,MitoDomain,49,,OrthologMitoHighConf,Ortholog,75-100pure,chr7,118525061,118533313,14,14,366,7.27E+09,81,all 14,8.7,8.5,8.7,8.5,8.9,9,8.6,8.7,8.8,8.6,9,8.7,8.3,8.3,Plasma membrane (Approved)
66945,6389,Sdha,1500032O14Rik|2310034D06Rik|4921513A11|C81073|F|FP|SDH|SDH2|SDHF,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | OXPHOS > OXPHOS subunits,Tmito,41.8438,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSMUSG00000021577,Q8K2B3,664,2,SharedDomain,47,1.8,OrthologMitoHighConf,Ortholog,75-100pure,chr13,74322254,74350240,14,48,4919,5.29E+11,83,all 14,10.4,9.9,10.5,10.3,11,10.5,10.7,10.6,10.6,10.7,10.6,10.5,10.4,10.4,Mitochondria (Supported)
67680,6390,Sdhb,0710008N11Rik,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,41.8214,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000009863,Q9CQA3,282,2,MitoDomain,49,2.32,HomologMitoHighConf,Ortholog,75-100pure,chr4,140961270,140979192,14,34,1571,1.50E+11,82,all 14,9.9,9.6,9.9,10,10.1,10.2,10.3,9.2,10.1,10.3,9.9,9.9,10.1,9.9,Mitochondria (Supported)
11946,498,Atp5a1,AI035633|AL022851|AL023067|At|Atp5f1a|Atpm|D18Ertd206|D18Ertd206e|Mom|Mom2,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,Tmito,41.6009,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSMUSG00000025428,Q03265,553,1,SharedDomain,48,1.53,OrthologMitoHighConf,Homolog,75-100pure,chr18,77773767,77782868,14,71,14666,2.25E+12,80,all 14,11.2,10.8,11.2,10.9,11.5,11,11.6,11.1,11.1,11.4,11,11.3,11.2,10.5,Mitochondria (Supported)
68002,135154,Sdhaf4,1110058L19Rik|1700001E18Rik|C6orf57,succinate dehydrogenase complex assembly factor 4,MitoCarta3.0,"targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS",Matrix,OXPHOS > Complex II > CII assembly factors | OXPHOS > OXPHOS assembly factors,Tpossible_mito,41.3676,0,1,"targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS",ENSMUSG00000026154,Q8BTE0,104,1,MitoDomain,44,1.38,OrthologMitoHighConf,Ortholog,25-50ambig,chr1,23995938,24005640,2,4,10,1.48E+08,38,"adipose, testis",,,,,,,,,8,,,,,7.7,Mitochondria (Approved)
73078,9512,Pmpcb,3110004O18Rik|MPP|MPP11|MPPB|MPPP52,peptidase (mitochondrial processing) beta,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",Tmito,41.3602,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000029017,Q9CXT8,489,1,MitoDomain,42,0.74,OrthologMitoLowConf,Homolog,50-75pure,chr5,21737159,21757152,14,22,275,2.37E+10,55,all 14,9,6.8,9.1,8.7,9.8,8.7,9.6,8,9,9.6,8.9,9.2,9.4,9,Mitochondria (Enhanced)
66925,6392,Sdhd,3110001M13Rik|AVLL5809|C78570|PRO19626,"succinate dehydrogenase complex, subunit D, integral membrane protein",MitoCarta3.0,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,Tmito,41.0374,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",ENSMUSG00000000171,Q9CXV1,159,3,MitoDomain,45,2.02,OrthologMitoHighConf,Ortholog,25-50pure,chr9,50596339,50603849,14,4,221,5.87E+09,28,all 14,8.8,8.3,8.5,7.8,8.9,8.6,8.4,8.3,8.4,8.9,8.6,8.5,8.7,8.9,
67003,7385,Uqcrc2,1500004O06Rik,ubiquinol cytochrome c reductase core protein 2,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits",Tmito,40.5274,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000030884,Q9DB77,453,2,MitoDomain,45,1.79,OrthologMitoLowConf,Homolog,50-75pure,chr7,120635188,120659523,14,36,4282,4.09E+11,61,all 14,10.5,10,10.3,10.3,10.6,10.3,10.9,10.4,10.3,10.7,10.5,10.5,10.2,10.2,Mitochondria (Enhanced)
52064,84274,Coq5,1810014G04Rik|D5Ertd33|D5Ertd33e,coenzyme Q5 methyltransferase,MitoCarta3.0,"APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,Metabolism > Metals and cofactors > Coenzyme Q metabolism,Tmito,40.5274,0,1,"APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000041733,Q9CXI0,327,2,MitoDomain,41,2.95,OrthologMitoLowConf,Homolog,50-75pure,chr5,115279701,115296972,14,16,132,5.76E+09,65,all 14,8.5,8.3,8.3,8,8.6,8,8.8,8.2,9,9.2,8.8,8.3,7.8,7.5,Nucleoli (Uncertain)
18293,4967,Ogdh,2210403E04Rik|2210412K19Rik|AA409584|d1401|mKIAA4192,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle,Tmito,40.5274,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000020456,Q60597,1038,2,MitoDomain,46,3.07,OrthologMitoLowConf,Homolog,50-75pure,chr11,6291596,6359094,14,106,8271,7.16E+11,71,all 14,10.6,10.6,10.9,9.9,11.1,9.9,10.8,10.9,10.6,10.8,10.7,10.7,10.5,10.4,Mitochondria (Enhanced)
22272,27089,Uqcrq,1100001F06Rik|1500040F11Rik|5830407L17Rik|9.5kDa|AA959903|QP-|QP-C|Qp|Qpc|Uqcrb|c1502,"ubiquinol-cytochrome c reductase, complex III subunit VII",MitoCarta3.0,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex III > CIII subunits | OXPHOS > OXPHOS subunits,Tmito,40.3296,0,1,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000044894,Q9CQ69,82,2,MitoDomain,47,0.66,OrthologMitoHighConf,NoHomolog,75-100pure,chr11,53428947,53430831,14,16,1153,9.68E+10,93,all 14,9.9,9.6,9.9,9.6,10.2,9.8,9.8,9.2,9.8,10,10.1,9.8,9.6,9.5,Mitochondria (Enhanced)
17448,4191,Mdh2,MDH|Mdh-2|Mo|Mor|Mor-1|Mor1,"malate dehydrogenase 2, NAD (mitochondrial)",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA cycle,Tmito,39.5139,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSMUSG00000019179,P08249,338,2,SharedDomain,50,1.54,OrthologMitoHighConf,Homolog,75-100pure,chr5,135778648,135790386,14,42,6117,1.44E+12,79,all 14,11.1,10.8,11.2,10.9,10.9,10.6,11.4,10.6,11,11.3,10.9,10.8,11,10.6,Mitochondria (Enhanced)
13171,1629,Dbt,BCKAD-E2|D3Wsu60|D3Wsu60e,dihydrolipoamide branched chain transacylase E2,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",Matrix,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,Tmito,38.8044,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",ENSMUSG00000000340,P53395,482,1,MitoDomain,34,2.32,OrthologMitoLowConf,Homolog,50-75pure,chr3,116513078,116549981,14,33,809,3.27E+10,67,all 14,8.5,7.7,8.4,8.4,9.9,9.6,9.2,8.6,9.8,9.2,9.1,9.9,9.2,8.9,Mitochondria (Supported)
235339,1737,Dlat,6332404G05Rik|DLTA|PDC-E|PDC-E2,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Tmito,38.6712,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000000168,Q8BMF4,642,3,MitoDomain,41,2.68,OrthologMitoLowConf,Homolog,50-75pure,chr9,50634632,50659780,14,36,2960,3.70E+11,60,all 14,10.6,10.3,10.7,10.5,10.4,9.8,10.4,10.5,10.5,9.9,10.1,10.1,10.1,10.5,Mitochondria (Enhanced)
72416,10128,Lrpprc,3110001K13Rik|C76645|Gp130|Lrp|Lrp130|Lsfc,leucine-rich PPR-motif containing,MitoCarta3.0,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial central dogma > Translation,Tmito,38.5071,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++",ENSMUSG00000024120,Q6PB66,1392,1,SharedDomain,47,2.59,OrthologMitoHighConf,NoHomolog,75-100pure,chr17,84705246,84790786,14,145,5900,2.76E+11,90,all 14,10.2,10.4,10.4,9.4,10.8,9.8,9.6,10.3,9.9,10.2,10.5,10.2,10.2,10.5,Mitochondria (Enhanced)
68499,116540,Mrpl53,1110007K17Rik,mitochondrial ribosomal protein L53,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,38.4734,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000030037,Q9D1H8,118,3,MitoDomain,47,0.6,OrthologMitoHighConf,NoHomolog,75-100pure,chr6,83109107,83109932,14,13,157,4.34E+09,92,all 14,8.4,8.2,8.4,8.1,8.6,8.6,7.7,7.1,8.3,8.6,8.9,8.2,8.9,8.4,Mitochondria (Supported)
78920,1743,Dlst,1600017E01Rik|4632413C10Rik|4930529O08Rik|DLTS,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),MitoCarta3.0,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",Matrix,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Lysine metabolism,Tmito,38.04,0,1,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",ENSMUSG00000004789,Q9D2G2,454,2,MitoDomain,42,1.79,OrthologMitoLowConf,Homolog,25-50pure,chr12,85110832,85134091,14,27,1780,1.09E+11,46,all 14,9.7,9.3,9.7,9.7,10.2,9.6,10.1,9.7,9.9,10.3,9.6,9.9,9.9,9.3,
27402,8050,Pdhx,AI481367|E3bp|Pdx|Pdx1,"pyruvate dehydrogenase complex, component X",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Tmito,38.04,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",ENSMUSG00000010914,Q8BKZ9,501,2,MitoDomain,41,2.28,OrthologMitoLowConf,Homolog,25-50pure,chr2,103021056,103073513,14,26,569,1.86E+10,49,all 14,9.3,8.7,9.3,8.8,9,8.3,9.5,9.3,9.4,8.7,8.6,8.9,8.9,9.2,Nucleoplasm;Plasma membrane (Approved)
28030,85476,Gfm1,AW545374|D3Wsu133|D3Wsu133e|Gfm,"G elongation factor, mitochondrial 1",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Translation factors,Tmito,37.8874,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",ENSMUSG00000027774,Q8K0D5,751,2,SharedDomain,48,2.39,OrthologMitoHighConf,Homolog,50-75pure,chr3,67430114,67475068,14,48,643,1.46E+10,58,all 14,8.9,8.8,8.8,8.9,9.6,8.9,8.3,9,9,8.7,9.1,8.7,9.2,8.6,Mitochondria (Approved)
