Gene names,m1_1_LFQ,m2_1_LFQ,m3_1_LFQ,m4_1_LFQ,m5_1_LFQ,m1_2_LFQ,m2_2_LFQ,m3_2_LFQ,m4_2_LFQ,m5_2_LFQ,m1_3_LFQ,m2_3_LFQ,m3_3_LFQ,m4_3_LFQ,m5_3_LFQ,m1_4_LFQ,m2_4_LFQ,m3_4_LFQ,m4_4_LFQ,m5_4_LFQ,m1_5_LFQ,m2_5_LFQ,m3_5_LFQ,m4_5_LFQ,m5_5_LFQ,m1_6_LFQ,m2_6_LFQ,m3_6_LFQ,m4_6_LFQ,m5_6_LFQ,m1_7_LFQ,m2_7_LFQ,m3_7_LFQ,m4_7_LFQ,m5_7_LFQ,m1_8_LFQ,m2_8_LFQ,m3_8_LFQ,m4_8_LFQ,m5_8_LFQ,Q-value,Score,Sequence coverage [%],Razor + unique peptides,MS/MS Count,Razor + unique peptides m1_1,Razor + unique peptides m2_1,Razor + unique peptides m3_1,Razor + unique peptides m4_1,Razor + unique peptides m5_1,Razor + unique peptides m1_2,Razor + unique peptides m2_2,Razor + unique peptides m3_2,Razor + unique peptides m4_2,Razor + unique peptides m5_2,Razor + unique peptides m1_3,Razor + unique peptides m2_3,Razor + unique peptides m3_3,Razor + unique peptides m4_3,Razor + unique peptides m5_3,Razor + unique peptides m1_4,Razor + unique peptides m2_4,Razor + unique peptides m3_4,Razor + unique peptides m4_4,Razor + unique peptides m5_4,Razor + unique peptides m1_5,Razor + unique peptides m2_5,Razor + unique peptides m3_5,Razor + unique peptides m4_5,Razor + unique peptides m5_5,Razor + unique peptides m1_6,Razor + unique peptides m2_6,Razor + unique peptides m3_6,Razor + unique peptides m4_6,Razor + unique peptides m5_6,Razor + unique peptides m1_7,Razor + unique peptides m2_7,Razor + unique peptides m3_7,Razor + unique peptides m4_7,Razor + unique peptides m5_7,Razor + unique peptides m1_8,Razor + unique peptides m2_8,Razor + unique peptides m3_8,Razor + unique peptides m4_8,Razor + unique peptides m5_8,MS/MS Count m1_1,MS/MS Count m2_1,MS/MS Count m3_1,MS/MS Count m4_1,MS/MS Count m5_1,MS/MS Count m1_2,MS/MS Count m2_2,MS/MS Count m3_2,MS/MS Count m4_2,MS/MS Count m5_2,MS/MS Count m1_3,MS/MS Count m2_3,MS/MS Count m3_3,MS/MS Count m4_3,MS/MS Count m5_3,MS/MS Count m1_4,MS/MS Count m2_4,MS/MS Count m3_4,MS/MS Count m4_4,MS/MS Count m5_4,MS/MS Count m1_5,MS/MS Count m2_5,MS/MS Count m3_5,MS/MS Count m4_5,MS/MS Count m5_5,MS/MS Count m1_6,MS/MS Count m2_6,MS/MS Count m3_6,MS/MS Count m4_6,MS/MS Count m5_6,MS/MS Count m1_7,MS/MS Count m2_7,MS/MS Count m3_7,MS/MS Count m4_7,MS/MS Count m5_7,MS/MS Count m1_8,MS/MS Count m2_8,MS/MS Count m3_8,MS/MS Count m4_8,MS/MS Count m5_8,Protein IDs,Majority protein IDs,Protein names,Gene names,GOBP slim name,GOCC slim name,KEGG name,Fasta headers,,,,,,,,,,,,,,,,,,,,
Esyt2,24.49033,24.33361,23.65502,24.68864,23.31907,25.41484,22.49958,18,23.65031,24.22773,24.50779,24.3347,23.34327,24.24154,23.97727,24.97215,24.24692,23.16979,24.25516,24.8333,24.55033,18,18,22.26874,18,18,24.25429,24.09676,18,18,24.29572,24.45657,22.57226,24.01682,18,18,24.06159,18,23.74006,23.69126,0,5.3807,8.8,6,28,1,2,2,4,1,4,1,0,1,4,1,3,1,3,1,2,1,1,2,2,3,0,0,2,0,0,3,2,1,0,2,2,1,1,0,0,2,0,2,1,1,2,0,4,0,4,0,0,0,3,0,2,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,Q3TZZ7;A0A1Y7VM39,Q3TZZ7,Extended synaptotagmin-2,Esyt2,,cell part;membrane;plasma membrane,,>sp|Q3TZZ7|ESYT2_MOUSE Extended synaptotagmin-2 OS=Mus musculus GN=Esyt2 PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
Etf1,27.1054,27.21974,27.88221,26.72858,27.0358,27.07398,27.59342,27.62024,27.05269,27.02062,26.89215,27.08487,27.72592,27.05414,27.08962,26.89655,27.06723,27.49205,26.54991,27.35321,26.92354,26.60258,27.37501,27.00089,27.44861,27.20172,27.20611,27.63927,27.44806,27.5479,27.22683,27.53823,27.95914,27.18952,27.62408,27.42254,27.44103,28.07954,27.3621,27.67209,0,39.664,36.6,12,294,7,7,5,6,6,7,5,8,5,7,8,7,9,5,7,6,6,9,5,5,5,3,8,5,7,5,7,9,6,8,9,6,10,7,10,7,11,8,7,8,8,7,8,5,6,7,5,7,4,6,8,5,12,5,5,6,5,11,8,6,5,2,9,7,11,8,7,7,7,7,8,8,14,6,9,4,10,10,9,12,Q8BWY3,Q8BWY3,Eukaryotic peptide chain release factor subunit 1,Etf1,catabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;interspecies interaction between organisms;macromolecule metabolic process;macromolecule modification;metabolic process;mRNA metabolic process;multi-organism process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;one-carbon metabolic process;primary metabolic process;protein alkylation;protein metabolic process;protein modification process;RNA catabolic process;RNA metabolic process;small molecule metabolic process,cell part;cytoplasm,mRNA surveillance pathway,>sp|Q8BWY3|ERF1_MOUSE Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus GN=Etf1 PE=1 SV=4,,,,,,,,,,,,,,,,,,,,
Etfa,35.14729,35.10922,34.83092,35.21766,35.18076,35.17805,35.3402,34.9028,35.30936,35.20966,35.39078,35.10118,34.95428,35.18726,35.15263,35.35018,35.30008,34.88235,35.24689,35.18829,35.50684,36.00245,35.26759,35.61725,35.16911,35.54496,35.4956,35.17619,35.45041,35.3152,35.39895,35.27156,35.01405,35.31639,35.22615,35.76461,35.05763,35.31493,35.42605,35.17579,0,323.31,76.3,25,4537,23,21,22,21,21,22,20,22,22,21,21,21,22,20,21,22,21,23,21,20,23,22,22,21,20,22,20,21,20,21,23,21,22,22,21,23,21,23,23,21,126,100,95,114,104,127,109,113,107,107,133,99,106,120,99,121,108,91,115,101,112,119,113,124,102,140,128,109,123,115,116,114,117,129,118,112,119,97,124,111,Q99LC5,Q99LC5,"Electron transfer flavoprotein subunit alpha, mitochondrial",Etfa,cellular metabolic process;cellular process;generation of precursor metabolites and energy;metabolic process,cell part;electron transfer flavoprotein complex;macromolecular complex;protein complex,,">sp|Q99LC5|ETFA_MOUSE Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus GN=Etfa PE=1 SV=2",,,,,,,,,,,,,,,,,,,,
Etfb,34.13354,34.09851,33.68875,34.20383,34.1567,34.24757,34.29042,33.97331,34.3146,34.09073,34.42911,34.08457,33.91126,34.21437,34.14885,34.35868,34.30035,33.86295,34.15685,34.03584,34.46885,34.88062,34.21979,34.49834,34.15044,34.39701,34.48238,34.13538,34.25673,34.19689,34.31372,34.14003,33.94157,34.27919,34.09412,34.70903,33.9637,34.31992,34.29912,34.06093,0,323.31,80.4,23,5038,22,21,20,20,21,22,21,21,20,22,22,20,20,22,21,21,20,21,21,20,21,20,22,21,18,21,20,20,21,20,20,21,22,22,21,19,22,17,20,20,127,126,114,120,117,128,123,120,129,121,134,126,119,130,122,132,118,112,124,122,136,124,142,140,110,143,126,131,138,118,132,139,122,131,131,120,125,118,127,121,Q9DCW4;A0A0U1RNP5;A0A0N4SVE0;A0A0U1RNR3;A0A0N4SWE9;A0A0U1RNK9;A0A0U1RQB4,Q9DCW4;A0A0U1RNP5;A0A0N4SVE0;A0A0U1RNR3;A0A0N4SWE9,Electron transfer flavoprotein subunit beta,Etfb,cellular metabolic process;cellular process;generation of precursor metabolites and energy;metabolic process,cell part;electron transfer flavoprotein complex;macromolecular complex;protein complex,,>sp|Q9DCW4|ETFB_MOUSE Electron transfer flavoprotein subunit beta OS=Mus musculus GN=Etfb PE=1 SV=3;>tr|A0A0U1RNP5|A0A0U1RNP5_MOUSE Electron transfer flavoprotein subunit beta (Fragment) OS=Mus musculus GN=Etfb PE=4 SV=1;>tr|A0A0N4SVE0|A0A0N4SVE0_MOUSE Pre,,,,,,,,,,,,,,,,,,,,
Etfdh,33.55591,33.63558,33.26612,33.81278,33.64313,33.72923,33.66193,33.53855,33.8102,33.64141,33.79856,33.66087,33.43378,33.71375,33.564,33.65448,33.69717,33.27836,33.64892,33.49154,33.75005,34.05658,33.37619,33.87317,33.43179,33.6596,33.73923,33.35757,33.5374,33.41375,33.54616,33.45953,33.26165,33.61412,33.30525,33.64291,33.31568,33.34175,33.56695,33.29475,0,323.31,73.2,42,5985,38,39,37,39,39,39,37,39,34,39,37,37,37,39,37,40,36,39,37,38,38,38,38,39,39,38,37,40,40,38,37,37,38,37,38,37,37,32,39,38,160,168,142,165,158,163,158,170,153,157,164,149,153,175,156,158,137,158,168,151,160,173,144,143,124,148,152,157,139,134,142,143,139,137,126,123,152,112,140,134,Q921G7;Q6PF96,Q921G7;Q6PF96,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",Etfdh,catabolic process;cellular ketone metabolic process;cellular lipid metabolic process;cellular metabolic process;cellular process;generation of precursor metabolites and energy;lipid metabolic process;metabolic process;organic acid metabolic process;primary metabolic process;response to chemical stimulus;response to oxidative stress;response to stimulus;response to stress;small molecule metabolic process,cell part;electron transfer flavoprotein complex;macromolecular complex;membrane;protein complex,,">sp|Q921G7|ETFD_MOUSE Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 SV=1;>tr|Q6PF96|Q6PF96_MOUSE Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial OS=Mus musculus GN=Etfdh PE=1 S",,,,,,,,,,,,,,,,,,,,
Ethe1,30.41891,30.25856,29.98482,30.36911,30.54481,30.92945,30.7,30.32775,30.90182,30.77156,31.63897,30.52402,30.49743,30.55755,31.10043,31.77588,31.14419,30.36453,30.86105,31.10874,32.15897,32.46582,31.9348,32.00327,32.01049,32.30416,31.91791,31.81528,32.09109,32.14373,32.26498,31.65681,31.71014,31.99806,32.07753,32.60379,31.61412,31.97811,31.97014,32.12254,0,323.31,78.3,13,1453,11,8,9,11,11,12,10,11,11,10,13,9,11,12,11,13,10,11,11,11,12,13,13,13,12,12,13,13,12,13,13,12,12,12,13,13,12,13,12,12,29,19,21,25,24,38,19,30,31,31,44,23,26,32,31,43,28,26,28,33,40,47,45,38,39,38,47,42,45,46,43,38,46,44,48,47,44,49,44,42,Q9DCM0,Q9DCM0,"Persulfide dioxygenase ETHE1, mitochondrial",Ethe1,amine metabolic process;cellular amino acid metabolic process;cellular ketone metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;metabolic process;nitrogen compound metabolic process;organic acid metabolic process;peptide metabolic process;primary metabolic process;small molecule metabolic process;sulfur compound metabolic process,cell part;intracellular membrane-bounded organelle;intracellular organelle;mitochondrion;nucleus;organelle,,">sp|Q9DCM0|ETHE1_MOUSE Persulfide dioxygenase ETHE1, mitochondrial OS=Mus musculus GN=Ethe1 PE=1 SV=2",,,,,,,,,,,,,,,,,,,,
Etnk2,24.13696,18,24.85676,23.90527,24.5569,24.27576,24.54957,24.53214,18,24.10181,18,18,24.77107,18,23.85567,18,18,24.91155,18,24.63744,18,18,24.69636,23.99438,18,18,18,24.53451,18,24.12132,24.23498,18,24.63539,18,24.82949,18,24.38791,18,24.43765,23.97605,0,7.0871,18.7,6,26,2,1,3,1,2,2,1,2,0,1,1,0,3,0,1,0,0,4,0,1,0,0,2,1,0,0,0,1,0,1,2,0,3,0,3,0,2,0,2,1,2,1,3,0,1,1,0,2,0,1,1,0,1,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,A7MCT6;H9KV13,A7MCT6;H9KV13,Ethanolamine kinase 2,Etnk2,alcohol metabolic process;amine metabolic process;anatomical structure development;biosynthetic process;cellular lipid metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;developmental process;embryo development;growth;lipid metabolic process;metabolic process;multicellular organismal process;nitrogen compound metabolic process;phosphorus metabolic process;post-embryonic development;primary metabolic process;small molecule metabolic process,,Glycerophospholipid metabolism,>sp|A7MCT6|EKI2_MOUSE Ethanolamine kinase 2 OS=Mus musculus GN=Etnk2 PE=1 SV=1;>tr|H9KV13|H9KV13_MOUSE Ethanolamine kinase 2 OS=Mus musculus GN=Etnk2 PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
Etnppl,27.01723,27.17703,25.24082,27.44063,25.66603,27.46482,24.29929,27.21494,25.00415,25.95407,27.00357,27.84667,24.9911,27.36486,25.53925,27.07081,27.90535,26.73027,27.02981,25.72721,30.18341,26.98098,30.43351,28.31648,28.8467,29.7445,29.1511,30.84064,29.52369,30.29887,29.9194,29.69071,31.28626,29.44336,30.94203,30.75007,29.82419,31.88711,30.09961,30.31062,0,187.94,56.7,26,459,3,2,1,2,1,3,2,3,1,1,3,2,1,2,1,3,1,3,3,1,13,4,16,11,10,16,12,18,14,15,18,16,23,15,22,13,21,21,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,26,6,12,24,13,37,17,21,22,21,50,15,44,18,26,39,22,29,Q8BWU8;E9PYH3;F7AY26,Q8BWU8;E9PYH3,Ethanolamine-phosphate phospho-lyase,Etnppl,metabolic process,cell part;intracellular membrane-bounded organelle;intracellular organelle;mitochondrion;organelle,,>sp|Q8BWU8|AT2L1_MOUSE Ethanolamine-phosphate phospho-lyase OS=Mus musculus GN=Etnppl PE=2 SV=1;>tr|E9PYH3|E9PYH3_MOUSE Ethanolamine-phosphate phospho-lyase OS=Mus musculus GN=Etnppl PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
Eva1a,26.0604,26.11462,25.37136,26.26311,25.97336,25.57155,25.73882,25.56628,26.16248,25.79198,25.45152,25.29541,25.78204,25.70849,25.84719,25.87851,25.51385,25.69362,25.8727,25.89878,25.57332,25.27821,25.56381,25.37046,25.42358,26.32332,25.24782,25.76474,26.19139,25.61349,25.96453,25.48038,25.25994,26.07498,25.04306,18,25.12648,18,26.11488,25.39931,0.0010067,3.699,7.1,1,80,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,3,2,2,3,2,2,1,1,2,2,3,2,1,2,2,4,3,1,2,2,2,1,1,3,3,2,3,2,1,2,1,D3Z511;Q91WM6,D3Z511;Q91WM6,Protein eva-1 homolog A,Eva1a,autophagy;catabolic process;cell death;cellular metabolic process;cellular process;death;metabolic process,cell part;intracellular membrane-bounded organelle;intracellular organelle;membrane;organelle;plasma membrane,,>tr|D3Z511|D3Z511_MOUSE Protein eva-1 homolog A (Fragment) OS=Mus musculus GN=Eva1a PE=1 SV=1;>sp|Q91WM6|EVA1A_MOUSE Protein eva-1 homolog A OS=Mus musculus GN=Eva1a PE=1 SV=2,,,,,,,,,,,,,,,,,,,,
Ewsr1,26.40389,26.30077,25.83932,25.7897,25.78054,25.47011,26.137,25.66376,24.65698,25.89825,24.97264,25.30351,25.95074,25.93087,25.93726,25.1831,25.58262,25.9832,25.67465,25.32814,26.89758,25.35666,25.90683,25.89587,26.31579,25.81849,25.99356,25.68875,26.06503,26.06139,26.12814,26.19186,26.29357,25.94577,25.86051,26.96069,26.11207,26.02187,26.23741,25.92046,0,44.966,17,6,121,5,2,4,3,3,3,2,2,1,2,2,3,4,3,2,2,1,3,3,2,6,2,4,3,3,2,2,3,4,3,3,3,4,3,2,2,4,2,3,2,5,3,4,4,3,3,2,2,0,3,2,4,5,4,4,2,1,4,4,2,8,2,4,2,2,1,2,2,3,2,3,7,5,3,2,1,4,2,2,3,Q5SUT0;Q5SUS9;Q61545,Q5SUT0;Q5SUS9;Q61545,RNA-binding protein EWS,Ewsr1,biological regulation;biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;RNA metabolic process,cell part;cytoplasm;intracellular membrane-bounded organelle;intracellular organelle;membrane;nucleus;organelle;plasma membrane,,>tr|Q5SUT0|Q5SUT0_MOUSE RNA-binding protein EWS OS=Mus musculus GN=Ewsr1 PE=1 SV=1;>tr|Q5SUS9|Q5SUS9_MOUSE RNA-binding protein EWS OS=Mus musculus GN=Ewsr1 PE=1 SV=1;>sp|Q61545|EWS_MOUSE RNA-binding protein EWS OS=Mus musculus GN=Ewsr1 PE=1 SV=2,,,,,,,,,,,,,,,,,,,,
Exosc4,23.88372,18,18,23.97053,23.89106,18,18,18,18,18,18,18,24.31548,18,18,24.07822,18,18,18,18,18,18,18,24.49088,18,24.00445,24.33702,18,18,24.72557,18,18,18,18,18,18,18,18,18,18,0.00099043,3.4011,14.3,3,17,1,0,2,1,1,1,0,0,0,0,0,2,1,1,0,3,0,0,0,0,2,1,1,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Q921I9,Q921I9,Exosome complex component RRP41,Exosc4,biological regulation;catabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;DNA metabolic process;DNA modification;immune system process;macromolecule metabolic process;macromolecule modification;metabolic process;mRNA metabolic process;multi-organism process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;response to biotic stimulus;response to stimulus;response to stress;RNA catabolic process;RNA metabolic process;RNA processing;rRNA processing,cell part;cytoplasm;exosome (RNase complex);intracellular non-membrane-bounded organelle;intracellular organelle;macromolecular complex;nucleolus;organelle;protein complex,RNA degradation,>sp|Q921I9|EXOS4_MOUSE Exosome complex component RRP41 OS=Mus musculus GN=Exosc4 PE=1 SV=3,,,,,,,,,,,,,,,,,,,,
F10,24.31001,24.52415,18,24.4776,24.43574,24.55262,18,24.02943,18,24.88656,25.01674,24.81294,24.50839,24.66817,24.62589,24.84369,25.51187,18,24.83533,24.82619,24.85034,24.7135,24.57618,24.66009,25.26821,24.84589,25.21104,25.43609,24.7756,25.12861,25.01538,25.13716,24.94633,25.1916,25.14992,18,24.95011,18,24.78222,25.18113,0,8.898,11.4,5,51,1,1,0,2,1,1,0,3,0,2,2,2,2,1,2,2,2,0,1,2,2,2,3,2,2,4,2,4,2,1,5,2,2,4,3,0,3,0,2,2,1,1,0,1,1,1,0,0,0,1,2,1,1,1,1,2,1,0,0,1,2,2,1,2,2,3,1,4,1,1,5,1,2,2,1,0,2,0,2,1,Q3U3V1;O88947;D3Z521;D3Z215,Q3U3V1;O88947,Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain,F10,biological regulation;coagulation;macromolecule metabolic process;metabolic process;multicellular organismal process;primary metabolic process;protein metabolic process;proteolysis;regulation of body fluid levels,cell part;extracellular region;intracellular membrane-bounded organelle;intracellular organelle;membrane;organelle,Complement and coagulation cascades,>tr|Q3U3V1|Q3U3V1_MOUSE Coagulation factor X OS=Mus musculus GN=F10 PE=1 SV=1;>sp|O88947|FA10_MOUSE Coagulation factor X OS=Mus musculus GN=F10 PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
F11r,26.30351,26.12924,26.36185,26.35956,26.25539,26.26399,26.40308,25.97874,26.50687,26.39285,26.98794,26.4405,26.26941,26.75735,26.61358,26.52931,26.40015,26.2292,26.18189,26.27024,27.06999,27.36645,27.28815,27.5037,27.12623,27.24364,27.36411,26.88786,27.14024,26.98804,27.01372,26.89041,26.95914,27.25764,26.93461,27.48685,26.9862,26.90896,27.1673,26.81629,0,10.145,18.7,4,141,4,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,5,2,3,4,4,3,2,4,2,2,3,3,3,4,3,3,2,3,3,2,5,3,5,6,4,4,4,5,6,4,4,3,3,5,4,4,3,2,4,3,O88792,O88792,Junctional adhesion molecule A,F11r,biological adhesion;cell adhesion;cell differentiation;cellular process;developmental process;interspecies interaction between organisms;multi-organism process,cell part;membrane;plasma membrane,Cell adhesion molecules (CAMs);Epithelial cell signaling in Helicobacter pylori infection;Leukocyte transendothelial migration;Tight junction,>sp|O88792|JAM1_MOUSE Junctional adhesion molecule A OS=Mus musculus GN=F11r PE=1 SV=2,,,,,,,,,,,,,,,,,,,,
F2,27.07357,27.1649,27.09114,27.24291,26.55221,27.12731,27.49793,26.99108,27.48639,26.79823,27.44514,27.3554,27.08355,27.00303,26.87725,27.29395,27.32517,26.99259,27.18423,26.75124,27.45521,27.12436,27.22306,27.15316,27.01148,27.51239,27.26204,27.08952,27.11496,26.92468,27.2589,26.70359,26.95903,27.06106,26.69458,27.53964,26.83376,27.08548,27.14957,26.81751,0,24.273,31.9,15,234,9,8,4,11,6,8,7,9,6,7,10,7,6,9,8,9,9,9,8,6,8,5,10,9,7,10,9,8,10,10,9,9,9,10,7,7,8,8,10,6,8,5,4,10,3,10,2,5,5,4,8,5,6,8,6,8,8,5,6,2,11,3,10,5,2,7,7,6,4,4,5,7,9,7,5,3,7,4,6,4,P19221;H7BX99,P19221;H7BX99,Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain;Prothrombin,F2,biological regulation;cell activation;cellular homeostasis;cellular ion homeostasis;cellular process;homeostatic process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;proteolysis;regulation of protein modification process;regulation of transport;response to stimulus;response to stress;signal transduction,extracellular region;extracellular space,Complement and coagulation cascades;Neuroactive ligand-receptor interaction;Regulation of actin cytoskeleton,>sp|P19221|THRB_MOUSE Prothrombin OS=Mus musculus GN=F2 PE=1 SV=1;>tr|H7BX99|H7BX99_MOUSE Prothrombin OS=Mus musculus GN=F2 PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
Faah,31.18287,30.94684,30.73279,31.24042,31.03368,30.74775,31.12897,30.81352,31.15424,30.95449,30.76089,30.68445,30.79196,31.01631,30.71702,30.63253,30.74743,30.64736,30.89973,30.77305,30.38072,30.63608,30.45503,30.69511,30.35836,30.18872,30.50085,30.28063,30.46373,30.37213,30.03682,30.2179,30.16459,30.37555,30.14479,30.5662,30.00209,30.43619,30.45621,30.17224,0,323.31,69.8,26,1438,21,17,15,21,21,17,19,17,19,21,20,20,20,22,21,18,18,21,22,18,17,18,19,18,17,14,19,18,17,17,16,21,19,16,20,16,19,12,16,15,51,35,29,57,39,38,44,37,43,44,38,36,46,53,42,47,35,48,47,40,33,27,34,34,29,24,35,36,33,27,28,32,32,27,35,20,29,22,25,27,O08914,O08914,Fatty-acid amide hydrolase 1,Faah,catabolic process;cellular ketone metabolic process;cellular lipid metabolic process;cellular metabolic process;cellular process;lipid metabolic process;metabolic process;organic acid metabolic process;primary metabolic process;small molecule metabolic process,cell part;membrane,,>sp|O08914|FAAH1_MOUSE Fatty-acid amide hydrolase 1 OS=Mus musculus GN=Faah PE=1 SV=1,,,,,,,,,,,,,,,,,,,,
Fabp1,33.88794,33.92892,34.09922,33.33165,34.14877,34.0235,33.923,34.57447,34.02886,34.08147,34.10712,34.10556,34.80981,33.94925,34.0724,33.58318,33.8102,34.23549,33.7603,34.23006,33.52298,33.36698,34.45574,33.54651,34.18475,33.2785,34.09357,34.08266,34.05948,34.157,33.97579,34.0901,34.42923,34.00387,34.5611,33.72212,34.495,33.82714,33.92477,34.28898,0,323.31,98.4,27,4082,15,19,17,15,16,22,18,17,17,16,17,19,17,16,17,16,16,17,17,18,18,17,19,16,18,22,19,19,18,19,22,19,19,19,19,22,20,18,17,19,96,106,112,79,99,114,93,131,101,87,98,107,151,90,103,80,79,109,90,98,82,71,119,81,100,99,103,107,108,107,117,104,128,98,112,88,130,89,103,113,P12710,P12710,"Fatty acid-binding protein, liver",Fabp1,biological regulation;cellular process;multicellular organismal process;response to chemical stimulus;response to oxidative stress;response to stimulus;response to stress,cell part;cytoplasm;cytosol;intracellular membrane-bounded organelle;intracellular organelle;nucleus;organelle,Fat digestion and absorption;PPAR signaling pathway,">sp|P12710|FABPL_MOUSE Fatty acid-binding protein, liver OS=Mus musculus GN=Fabp1 PE=1 SV=2",,,,,,,,,,,,,,,,,,,,
Fabp2,30.10337,29.95227,30.70322,29.03231,29.62774,29.85946,29.53001,30.56638,28.93573,29.35227,29.17693,30.2911,30.43311,29.49581,29.45386,29.21741,29.88179,30.31635,29.44857,29.74938,27.98674,27.83262,29.01001,27.55215,29.06528,28.42934,28.5666,29.29452,28.63416,29.32086,28.98389,29.35178,29.31212,28.75653,29.25955,24.1763,29.60401,27.67196,28.69962,29.41397,0,139,57.6,11,260,8,8,9,6,9,8,8,9,5,8,6,7,10,8,8,8,8,8,5,8,6,3,9,7,5,5,6,8,7,10,4,8,7,5,7,1,8,3,5,8,11,8,15,2,10,11,7,14,6,8,5,11,18,10,8,8,7,11,5,8,1,1,5,1,2,1,6,8,3,6,1,7,4,2,8,0,10,2,3,6,P55050,P55050,"Fatty acid-binding protein, intestinal",Fabp2,cellular ketone metabolic process;cellular lipid metabolic process;cellular metabolic process;cellular process;lipid metabolic process;metabolic process;multicellular organismal process;organic acid metabolic process;primary metabolic process;small molecule metabolic process,cell part;cell projection;intracellular;membrane;microvillus;plasma membrane,Fat digestion and absorption;PPAR signaling pathway,">sp|P55050|FABPI_MOUSE Fatty acid-binding protein, intestinal OS=Mus musculus GN=Fabp2 PE=1 SV=2",,,,,,,,,,,,,,,,,,,,
Fabp5,28.53749,28.45034,28.67587,27.37873,27.96615,28.41796,28.5119,28.62129,28.15369,28.54101,28.83123,28.10794,28.64179,28.40823,28.83891,29.03465,28.32449,28.9904,28.24136,29.17871,28.99968,27.50408,29.01311,28.64931,29.62206,28.90627,28.63713,29.14436,28.90925,29.4478,29.01792,29.01839,29.08337,28.75219,29.56344,29.08803,29.25764,29.42564,28.7164,29.44516,0,151.36,84.4,14,703,8,7,11,5,9,11,7,11,8,11,11,8,11,10,12,12,8,13,11,12,10,2,13,7,14,12,12,12,12,13,11,13,13,10,12,7,12,9,11,13,13,8,18,8,10,15,8,17,8,9,21,9,19,13,17,19,9,26,9,25,19,3,24,11,27,12,17,31,18,30,22,25,32,18,30,10,25,20,17,31,Q05816,Q05816,"Fatty acid-binding protein, epidermal",Fabp5,alcohol metabolic process;amine metabolic process;biosynthetic process;carbohydrate metabolic process;carbohydrate transport;cellular lipid metabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;establishment of localization;lipid metabolic process;metabolic process;nitrogen compound metabolic process;primary metabolic process;small molecule metabolic process;transport,cell part;cytoplasm,PPAR signaling pathway,">sp|Q05816|FABP5_MOUSE Fatty acid-binding protein, epidermal OS=Mus musculus GN=Fabp5 PE=1 SV=3",,,,,,,,,,,,,,,,,,,,
