Protein,cluster_anchorprotein,int_mean,Symbol,Genename,ENSEMBL
A2AKK5,1,1878.454897531603,Acnat1,acyl-coenzyme A amino acid N-acyltransferase 1,ENSMUSG00000070985
A2AMW0,1,4446.493631837,NA,NA,NA
A2AN08,1,918.6242549224371,Ubr4,ubiquitin protein ligase E3 component n-recognin 4,ENSMUSG00000066036
A2AS89,1,3515.053808906046,Agmat,agmatine ureohydrolase (agmatinase),ENSMUSG00000040706
A2ATU0,1,2042.05299310976,Dhtkd1,dehydrogenase E1 and transketolase domain containing 1,ENSMUSG00000025815
A2BIN1,1,3307.047569533455,Mup10,major urinary protein 10,ENSMUSG00000078680
A3KFU5,1,3177.2092941646333,Pabpc4,"poly(A) binding protein, cytoplasmic 4",ENSMUSG00000011257
A3KGB4,1,1231.5463983185405,Tbc1d8b,"TBC1 domain family, member 8B",ENSMUSG00000042473
A3KMP2,1,2794.5869049900048,Ttc38,tetratricopeptide repeat domain 38,ENSMUSG00000035944
A6X935,1,1661.245833817474,Itih4,"inter alpha-trypsin inhibitor, heavy chain 4",ENSMUSG00000021922
A8DUK4,1,11772.597973633938,Hbb-bs,"hemoglobin, beta adult s chain",ENSMUSG00000052305
A8Y5N4,1,15104.274024641676,NA,NA,NA
B1ATI0,1,2608.2107687161315,NA,NA,NA
B1B0C7,1,1958.7119648046819,NA,NA,NA
B2M1R6,1,4714.585930540785,Hnrnpk,heterogeneous nuclear ribonucleoprotein K,ENSMUSG00000021546
B2RT14,1,14163.710779442408,Ugt1a5,"UDP glucuronosyltransferase 1 family, polypeptide A5",ENSMUSG00000089943
B2RT89,1,0,Slc22a28,"solute carrier family 22, member 28",ENSMUSG00000063590
B2RXS4,1,2105.690783289646,Plxnb2,plexin B2,ENSMUSG00000036606
B8JJN0,1,2293.93149703584,NA,NA,NA
D3YVW2,1,1044.7535526390548,Golim4,golgi integral membrane protein 4,ENSMUSG00000034109
D3YW09,1,0,NA,NA,NA
D3YX34,1,1224.0496734823926,Dctn1,dynactin 1,ENSMUSG00000031865
D3YXK2,1,3648.0524250409835,Safb,scaffold attachment factor B,ENSMUSG00000071054
D3Z2H9,1,5268.334136800291,NA,NA,NA
D3Z6P0,1,4815.6283354859925,Pdia2,protein disulfide isomerase associated 2,ENSMUSG00000024184
D6REH1,1,2888.202102709342,NA,NA,NA
E9PV24,1,6534.733261059015,Fga,fibrinogen alpha chain,ENSMUSG00000028001
E9PVA8,1,1671.8765498152056,Gcn1,GCN1 activator of EIF2AK4,ENSMUSG00000041638
E9PVU0,1,2419.6833243422257,NA,NA,NA
E9PVZ8,1,0,Golgb1,"golgi autoantigen, golgin subfamily b, macrogolgin 1",ENSMUSG00000034243
E9PXC3,1,4047.1846628738535,Cyp2c69,"cytochrome P450, family 2, subfamily c, polypeptide 69",ENSMUSG00000092008
E9PZF0,1,5482.211831293828,NA,NA,NA
E9Q3X0,1,1725.422918523965,Mvp,major vault protein,ENSMUSG00000030681
E9Q414,1,3306.7415480245945,Apob,apolipoprotein B,ENSMUSG00000020609
E9Q456,1,3575.008590653972,NA,NA,NA
E9Q4Z2,1,1489.5909351261375,Acacb,acetyl-Coenzyme A carboxylase beta,ENSMUSG00000042010
E9Q509,1,6494.31781028532,Pklr,pyruvate kinase liver and red blood cell,ENSMUSG00000041237
E9Q555,1,1064.526206205071,NA,NA,NA
E9Q557,1,4102.208308363208,Dsp,desmoplakin,ENSMUSG00000054889
E9Q5C9,1,1197.0427965362214,Nolc1,nucleolar and coiled-body phosphoprotein 1,ENSMUSG00000015176
E9Q5K4,1,6343.373053029201,Cyp2c23,"cytochrome P450, family 2, subfamily c, polypeptide 23",ENSMUSG00000025197
E9Q616,1,2531.1758864631356,Ahnak,AHNAK nucleoprotein (desmoyokin),ENSMUSG00000069833
E9Q6M5,1,3167.375751666681,NA,NA,NA
E9Q6R7,1,1856.756566226788,Utrn,utrophin,ENSMUSG00000019820
E9Q852,1,1210.964916341153,NA,NA,NA
E9Q912,1,0,Rap1gds1,"RAP1, GTP-GDP dissociation stimulator 1",ENSMUSG00000028149
E9QA15,1,3717.4562099919567,NA,NA,NA
E9QNA7,1,1925.8427475781955,Sorbs1,sorbin and SH3 domain containing 1,ENSMUSG00000025006
E9QNL5,1,3084.6084400796835,NA,NA,NA
E9QNN1,1,2959.747852470394,Dhx9,DEAH (Asp-Glu-Ala-His) box polypeptide 9,ENSMUSG00000042699
E9QPD7,1,7323.16872653485,Pcx,pyruvate carboxylase,ENSMUSG00000024892
F6ZDS4,1,2117.3575066709855,Tpr,"translocated promoter region, nuclear basket protein",ENSMUSG00000006005
F7BJK1,1,772.3448961908105,NA,NA,NA
F7DBQ0,1,6694.100598128545,NA,NA,NA
F8VPN4,1,2409.8027790203205,Agl,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase",ENSMUSG00000033400
F8VQC1,1,2993.2547849110842,Srp72,signal recognition particle 72,ENSMUSG00000036323
F8WIT2,1,5721.60782781584,Anxa6,annexin A6,ENSMUSG00000018340
G3UXW9,1,1227.0207016037934,Gps1,G protein pathway suppressor 1,ENSMUSG00000025156
G3UXX3,1,1976.885406730596,NA,NA,NA
G3X8P9,1,0,Aox1,aldehyde oxidase 1,ENSMUSG00000063558
G3X8Q5,1,4329.1389411002165,Cp,ceruloplasmin,ENSMUSG00000003617
G3X8R0,1,1504.2379732391214,Reep5,receptor accessory protein 5,ENSMUSG00000005873
G3X972,1,1592.9518568549774,Sec24c,"Sec24 related gene family, member C (S. cerevisiae)",ENSMUSG00000039367
G3X982,1,4616.462536746436,Aox3,aldehyde oxidase 3,ENSMUSG00000064294
G3X9Y6,1,2891.584844518974,Akr1c19,"aldo-keto reductase family 1, member C19",ENSMUSG00000071551
G5E8V9,1,0,Arfip1,ADP-ribosylation factor interacting protein 1,ENSMUSG00000074513
K9J7B2,1,2118.818496512363,Ugt1a6b,"UDP glucuronosyltransferase 1 family, polypeptide A6B",ENSMUSG00000090145
O08529,1,345.29860625320794,Capn2,calpain 2,ENSMUSG00000026509
O08547,1,2220.4489890355653,Sec22b,"SEC22 homolog B, vesicle trafficking protein",ENSMUSG00000027879
O08553,1,1632.694540137429,Dpysl2,dihydropyrimidinase-like 2,ENSMUSG00000022048
O08573,1,7297.542710609778,Lgals9,"lectin, galactose binding, soluble 9",ENSMUSG00000001123
O08583,1,1590.0432436997835,Alyref,Aly/REF export factor,ENSMUSG00000025134
O08600,1,1250.9471790167859,Endog,endonuclease G,ENSMUSG00000015337
O08601,1,4248.287736692691,Mttp,microsomal triglyceride transfer protein,ENSMUSG00000028158
O08663,1,1182.2769206203352,Metap2,methionine aminopeptidase 2,ENSMUSG00000036112
O08677,1,1873.9148410475404,Kng1,kininogen 1,ENSMUSG00000022875
O08705,1,15375.3709663917,Slc10a1,"solute carrier family 10 (sodium/bile acid cotransporter family), member 1",ENSMUSG00000021135
O08749,1,8156.262101702749,Dld,dihydrolipoamide dehydrogenase,ENSMUSG00000020664
O08795,1,5082.921380984672,Prkcsh,protein kinase C substrate 80K-H,ENSMUSG00000003402
O08797,1,0,Serpinb9,"serine (or cysteine) peptidase inhibitor, clade B, member 9",ENSMUSG00000045827
O08807,1,7910.464344824964,Prdx4,peroxiredoxin 4,ENSMUSG00000025289
O08808,1,1858.833688504081,Diaph1,diaphanous related formin 1,ENSMUSG00000024456
O08810,1,1054.0820528680706,Eftud2,elongation factor Tu GTP binding domain containing 2,ENSMUSG00000020929
O08914,1,2167.351944383998,Faah,fatty acid amide hydrolase,ENSMUSG00000034171
O09012,1,2084.9185275370655,Pex5,peroxisomal biogenesis factor 5,ENSMUSG00000005069
O09061,1,4606.753286275981,Psmb1,"proteasome (prosome, macropain) subunit, beta type 1",ENSMUSG00000014769
O09111,1,2868.7516434998806,Ndufb11,NADH:ubiquinone oxidoreductase subunit B11,ENSMUSG00000031059
O09131,1,4140.646102042845,Gsto1,glutathione S-transferase omega 1,ENSMUSG00000025068
O09158,1,1653.6491254152222,Cyp3a25,"cytochrome P450, family 3, subfamily a, polypeptide 25",ENSMUSG00000029630
O09167,1,6730.89011325524,NA,NA,NA
O09172,1,1774.8286754190412,Gclm,"glutamate-cysteine ligase, modifier subunit",ENSMUSG00000028124
O09173,1,6628.071808951259,Hgd,"homogentisate 1, 2-dioxygenase",ENSMUSG00000022821
O09174,1,3648.3531152240903,Amacr,alpha-methylacyl-CoA racemase,ENSMUSG00000022244
O35114,1,823.2535326540001,Scarb2,"scavenger receptor class B, member 2",ENSMUSG00000029426
O35129,1,8392.296734831601,Phb2,prohibitin 2,ENSMUSG00000004264
O35226,1,3186.3684208325767,Psmd4,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4",ENSMUSG00000005625
O35286,1,3080.130940339539,Dhx15,DEAH (Asp-Glu-Ala-His) box polypeptide 15,ENSMUSG00000029169
O35381,1,2057.638826751062,Anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",ENSMUSG00000032249
O35386,1,5514.313276779687,Phyh,phytanoyl-CoA hydroxylase,ENSMUSG00000026664
O35423,1,5184.383248261048,Agxt,alanine-glyoxylate aminotransferase,ENSMUSG00000026272
O35459,1,3052.5495320457103,Ech1,"enoyl coenzyme A hydratase 1, peroxisomal",ENSMUSG00000053898
O35465,1,2063.6602986227153,Fkbp8,FK506 binding protein 8,ENSMUSG00000019428
O35488,1,6557.812796156897,Slc27a2,"solute carrier family 27 (fatty acid transporter), member 2",ENSMUSG00000027359
O35490,1,23458.105711776694,Bhmt,betaine-homocysteine methyltransferase,ENSMUSG00000074768
O35593,1,1834.9353855303866,Psmd14,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14",ENSMUSG00000026914
O35623,1,1359.0244194266584,Bet1,Bet1 golgi vesicular membrane trafficking protein,ENSMUSG00000032757
O35643,1,1564.378997970592,Ap1b1,"adaptor protein complex AP-1, beta 1 subunit",ENSMUSG00000009090
O35660,1,1455.082008356986,Gstm6,"glutathione S-transferase, mu 6",ENSMUSG00000068762
O35685,1,2535.3717563258024,Nudc,nudC nuclear distribution protein,ENSMUSG00000028851
O35691,1,876.34257842801,Pnn,pinin,ENSMUSG00000020994
O35728,1,663.9424908956487,Cyp4a14,"cytochrome P450, family 4, subfamily a, polypeptide 14",ENSMUSG00000028715
O35857,1,2825.7474341708785,Timm44,translocase of inner mitochondrial membrane 44,ENSMUSG00000002949
O35887,1,1858.9469151631797,Calu,calumenin,ENSMUSG00000029767
O35945,1,3793.0464309594,Aldh1a7,"aldehyde dehydrogenase family 1, subfamily A7",ENSMUSG00000024747
O35969,1,1486.1450698633516,Gamt,guanidinoacetate methyltransferase,ENSMUSG00000020150
O54734,1,5628.6927580187,Ddost,dolichyl-di-phosphooligosaccharide-protein glycotransferase,ENSMUSG00000028757
O54749,1,2136.1106682754507,Cyp2j5,"cytochrome P450, family 2, subfamily j, polypeptide 5",ENSMUSG00000052520
O54950,1,886.1101951203134,Prkag1,"protein kinase, AMP-activated, gamma 1 non-catalytic subunit",ENSMUSG00000067713
O55022,1,8973.466689914769,Pgrmc1,progesterone receptor membrane component 1,ENSMUSG00000006373
O55029,1,2683.3963412104385,Copb2,"coatomer protein complex, subunit beta 2 (beta prime)",ENSMUSG00000032458
O55111,1,891.1485213115152,Dsg2,desmoglein 2,ENSMUSG00000044393
O55125,1,8213.647694167077,Nipsnap1,nipsnap homolog 1,ENSMUSG00000034285
O55131,1,1640.97045937842,Septin7,septin 7,ENSMUSG00000001833
O55143,1,3361.210646407091,Atp2a2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2",ENSMUSG00000029467
O55234,1,3777.318068124967,Psmb5,"proteasome (prosome, macropain) subunit, beta type 5",ENSMUSG00000022193
O70152,1,855.9860901865716,Dpm1,dolichol-phosphate (beta-D) mannosyltransferase 1,ENSMUSG00000078919
O70194,1,3884.7563782840243,Eif3d,"eukaryotic translation initiation factor 3, subunit D",ENSMUSG00000016554
O70251,1,6479.096960491897,Eef1b2,eukaryotic translation elongation factor 1 beta 2,ENSMUSG00000025967
O70252,1,1170.070817383928,Hmox2,heme oxygenase 2,ENSMUSG00000004070
O70310,1,1488.2164349561767,Nmt1,N-myristoyltransferase 1,ENSMUSG00000020936
O70362,1,396.9388878527142,NA,NA,NA
O70378,1,572.0235288820347,Emc8,ER membrane protein complex subunit 8,ENSMUSG00000031819
O70400,1,2615.0605006421283,Pdlim1,PDZ and LIM domain 1 (elfin),ENSMUSG00000055044
O70404,1,2556.3147043233857,Vamp8,vesicle-associated membrane protein 8,ENSMUSG00000050732
O70435,1,3591.0526691012947,Psma3,proteasome subunit alpha 3,ENSMUSG00000060073
O70456,1,6432.296737440818,Sfn,stratifin,ENSMUSG00000047281
O70475,1,5073.163027694745,Ugdh,UDP-glucose dehydrogenase,ENSMUSG00000029201
O70492,1,0,NA,NA,NA
O70503,1,4546.3852165767485,Hsd17b12,hydroxysteroid (17-beta) dehydrogenase 12,ENSMUSG00000027195
O88342,1,2471.2021243308473,Wdr1,WD repeat domain 1,ENSMUSG00000005103
O88428,1,1776.2775780816592,Papss2,3'-phosphoadenosine 5'-phosphosulfate synthase 2,ENSMUSG00000024899
O88441,1,3206.8011657759107,Mtx2,metaxin 2,ENSMUSG00000027099
O88451,1,15286.487093497119,Rdh7,retinol dehydrogenase 7,ENSMUSG00000040134
O88455,1,3513.0181296308183,Dhcr7,7-dehydrocholesterol reductase,ENSMUSG00000058454
O88487,1,0,Dync1i2,dynein cytoplasmic 1 intermediate chain 2,ENSMUSG00000027012
O88531,1,726.5920358131805,Ppt1,palmitoyl-protein thioesterase 1,ENSMUSG00000028657
O88533,1,1731.6718472163102,Ddc,dopa decarboxylase,ENSMUSG00000020182
O88543,1,1752.519475112383,Cops3,COP9 signalosome subunit 3,ENSMUSG00000019373
O88544,1,1923.7092195927742,Cops4,COP9 signalosome subunit 4,ENSMUSG00000035297
O88569,1,15860.056395290925,Hnrnpa2b1,heterogeneous nuclear ribonucleoprotein A2/B1,ENSMUSG00000004980
O88587,1,4789.403221280244,Comt,catechol-O-methyltransferase,ENSMUSG00000000326
O88668,1,1041.5029847444493,Creg1,cellular repressor of E1A-stimulated genes 1,ENSMUSG00000040713
O88685,1,3671.2511493023226,Psmc3,"proteasome (prosome, macropain) 26S subunit, ATPase 3",ENSMUSG00000002102
O88696,1,3841.9422099158032,Clpp,caseinolytic mitochondrial matrix peptidase proteolytic subunit,ENSMUSG00000002660
O88736,1,3155.3768951593074,Hsd17b7,hydroxysteroid (17-beta) dehydrogenase 7,ENSMUSG00000026675
O88844,1,7069.699210423345,Idh1,"isocitrate dehydrogenase 1 (NADP+), soluble",ENSMUSG00000025950
O88908,1,340.8955531748816,Soat2,sterol O-acyltransferase 2,ENSMUSG00000023045
O88962,1,2989.403890286263,Cyp8b1,"cytochrome P450, family 8, subfamily b, polypeptide 1",ENSMUSG00000050445
O88986,1,3164.424311799669,Gcat,glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase),ENSMUSG00000006378
O89023,1,4651.836329824009,Tpp1,tripeptidyl peptidase I,ENSMUSG00000030894
O89079,1,2175.500564620127,Cope,"coatomer protein complex, subunit epsilon",ENSMUSG00000055681
P00186,1,3616.929024279376,Cyp1a2,"cytochrome P450, family 1, subfamily a, polypeptide 2",ENSMUSG00000032310
P00329,1,20057.885180262405,Adh1,alcohol dehydrogenase 1 (class I),ENSMUSG00000074207
P00375,1,1190.5905779786344,Dhfr,dihydrofolate reductase,ENSMUSG00000021707
P00405,1,8192.87481136479,COX2,cytochrome c oxidase subunit II,ENSMUSG00000064354
P00416,1,6906.969213747729,COX3,cytochrome c oxidase subunit III,ENSMUSG00000064358
P00493,1,0,Hprt,hypoxanthine guanine phosphoribosyl transferase,ENSMUSG00000025630
P00688,1,1263.0270341872342,Amy2a5,amylase 2a5,ENSMUSG00000074268
P00920,1,2539.2939169687943,Car2,carbonic anhydrase 2,ENSMUSG00000027562
P01027,1,3520.745426926009,C3,complement component 3,ENSMUSG00000024164
P01029,1,1999.1606703602108,C4b,complement component 4B (Chido blood group),ENSMUSG00000073418
P01837,1,2992.126826629242,NA,NA,NA
P01887,1,8091.4901165224555,B2m,beta-2 microglobulin,ENSMUSG00000060802
P01898,1,7462.538096060108,H2-Q10,"histocompatibility 2, Q region locus 10",ENSMUSG00000067235
P01899,1,2834.0408877332497,H2-D1,"histocompatibility 2, D region locus 1",ENSMUSG00000073411
P01901,1,2644.915656385489,H2-K1,"histocompatibility 2, K1, K region",ENSMUSG00000061232
P03911,1,167.1821518550894,ND4,NADH dehydrogenase subunit 4,ENSMUSG00000064363
P03921,1,2517.251125603728,ND5,NADH dehydrogenase subunit 5,ENSMUSG00000064367
P03930,1,1745.7750629616298,ATP8,ATP synthase F0 subunit 8,ENSMUSG00000064356
P05064,1,4082.0580612987305,Aldoa,"aldolase A, fructose-bisphosphate",ENSMUSG00000030695
P05132,1,0,Prkaca,"protein kinase, cAMP dependent, catalytic, alpha",ENSMUSG00000005469
P05201,1,4556.279992820137,Got1,"glutamic-oxaloacetic transaminase 1, soluble",ENSMUSG00000025190
P05202,1,14616.241719445725,Got2,"glutamatic-oxaloacetic transaminase 2, mitochondrial",ENSMUSG00000031672
P05366,1,3332.9368624231975,Saa1,serum amyloid A 1,ENSMUSG00000074115
P05784,1,18867.571020162755,Krt18,keratin 18,ENSMUSG00000023043
P06151,1,7163.03319367517,Ldha,lactate dehydrogenase A,ENSMUSG00000063229
P06684,1,2399.54040702533,Hc,hemolytic complement,ENSMUSG00000026874
P06728,1,2129.167716893386,Apoa4,apolipoprotein A-IV,ENSMUSG00000032080
P06745,1,3649.0388701215093,Gpi1,glucose-6-phosphate isomerase 1,ENSMUSG00000036427
P06797,1,5368.078754010297,Ctsl,cathepsin L,ENSMUSG00000021477
P06801,1,3779.354024813847,Me1,"malic enzyme 1, NADP(+)-dependent, cytosolic",ENSMUSG00000032418
P07309,1,4794.35192550908,Ttr,transthyretin,ENSMUSG00000061808
P07310,1,2495.9414354350556,Ckm,"creatine kinase, muscle",ENSMUSG00000030399
P07356,1,5956.461873890026,Anxa2,annexin A2,ENSMUSG00000032231
P07724,1,4780.682671021719,Alb,albumin,ENSMUSG00000029368
P07758,1,2912.129799852092,Serpina1a,"serine (or cysteine) peptidase inhibitor, clade A, member 1A",ENSMUSG00000066366
P07901,1,6185.04713343796,Hsp90aa1,"heat shock protein 90, alpha (cytosolic), class A member 1",ENSMUSG00000021270
P08003,1,6371.143878600542,Pdia4,protein disulfide isomerase associated 4,ENSMUSG00000025823
P08032,1,1880.9193873696586,Spta1,"spectrin alpha, erythrocytic 1",ENSMUSG00000026532
P08113,1,10101.30111059995,Hsp90b1,"heat shock protein 90, beta (Grp94), member 1",ENSMUSG00000020048
P08226,1,5248.484045075507,Apoe,apolipoprotein E,ENSMUSG00000002985
P08249,1,10331.81591850175,Mdh2,"malate dehydrogenase 2, NAD (mitochondrial)",ENSMUSG00000019179
P09055,1,1602.5562797655678,Itgb1,integrin beta 1 (fibronectin receptor beta),ENSMUSG00000025809
P09103,1,9136.466771327916,P4hb,"prolyl 4-hydroxylase, beta polypeptide",ENSMUSG00000025130
P09405,1,7916.271129101587,Ncl,nucleolin,ENSMUSG00000026234
P09411,1,9333.124126142022,Pgk1,phosphoglycerate kinase 1,ENSMUSG00000062070
P09528,1,4706.812378250891,Fth1,ferritin heavy polypeptide 1,ENSMUSG00000024661
P09671,1,9528.94061017867,Sod2,"superoxide dismutase 2, mitochondrial",ENSMUSG00000006818
P0C0S6,1,1961.7532606918132,H2az1,H2A.Z variant histone 1,ENSMUSG00000037894
P0DN34,1,8230.303907532862,NA,NA,NA
P0DP26,1,4675.072481765211,Calm1,calmodulin 1,ENSMUSG00000001175
P10126,1,15049.538301812932,Eef1a1,eukaryotic translation elongation factor 1 alpha 1,ENSMUSG00000037742
P10518,1,1658.758550708364,Alad,"aminolevulinate, delta-, dehydratase",ENSMUSG00000028393
P10605,1,6115.164667696314,Ctsb,cathepsin B,ENSMUSG00000021939
P10630,1,2969.9788952001045,Eif4a2,eukaryotic translation initiation factor 4A2,ENSMUSG00000022884
P10639,1,15934.216690263362,Txn1,thioredoxin 1,ENSMUSG00000028367
P10648,1,3324.5332189960354,Gsta2,"glutathione S-transferase, alpha 2 (Yc2)",ENSMUSG00000057933
P10649,1,18551.272462454403,Gstm1,"glutathione S-transferase, mu 1",ENSMUSG00000058135
P10854,1,54403.21022642669,H2bc14,H2B clustered histone 14,ENSMUSG00000114279
P10922,1,15113.95322470164,H1f0,H1.0 linker histone,ENSMUSG00000096210
P11352,1,5368.642231706424,Gpx1,glutathione peroxidase 1,ENSMUSG00000063856
P11438,1,4529.540100513648,Lamp1,lysosomal-associated membrane protein 1,ENSMUSG00000031447
P11499,1,14384.824432346926,Hsp90ab1,"heat shock protein 90 alpha (cytosolic), class B member 1",ENSMUSG00000023944
P11679,1,16333.843924467325,Krt8,keratin 8,ENSMUSG00000049382
P11714,1,5255.315036276759,Cyp2d9,"cytochrome P450, family 2, subfamily d, polypeptide 9",ENSMUSG00000068086
P11725,1,16654.318430385614,Otc,ornithine transcarbamylase,ENSMUSG00000031173
P11983,1,2733.1753978210436,Tcp1,t-complex protein 1,ENSMUSG00000068039
P12265,1,2864.647275354021,Gusb,"glucuronidase, beta",ENSMUSG00000025534
P12367,1,2877.487868019765,NA,NA,NA
P12382,1,1682.8291095165796,Pfkl,"phosphofructokinase, liver, B-type",ENSMUSG00000020277
P12710,1,13574.989483528137,Fabp1,"fatty acid binding protein 1, liver",ENSMUSG00000054422
P12787,1,6313.264591487095,Cox5a,cytochrome c oxidase subunit 5A,ENSMUSG00000000088
P12815,1,5306.086784947594,Pdcd6,programmed cell death 6,ENSMUSG00000021576
P12970,1,11785.015130675463,Rpl7a,ribosomal protein L7A,ENSMUSG00000062647
P13020,1,1211.3559369118307,Gsn,gelsolin,ENSMUSG00000026879
P13516,1,957.1400334887103,Scd1,stearoyl-Coenzyme A desaturase 1,ENSMUSG00000037071
P13707,1,6877.562862905612,Gpd1,glycerol-3-phosphate dehydrogenase 1 (soluble),ENSMUSG00000023019
P14094,1,6218.70866426224,Atp1b1,"ATPase, Na+/K+ transporting, beta 1 polypeptide",ENSMUSG00000026576
P14115,1,10097.129457136474,Rpl27a,ribosomal protein L27A,ENSMUSG00000046364
P14131,1,9356.995041605041,Rps16,ribosomal protein S16,ENSMUSG00000037563
P14148,1,9255.511813882047,Rpl7,ribosomal protein L7,ENSMUSG00000043716
P14152,1,10232.386520209086,Mdh1,"malate dehydrogenase 1, NAD (soluble)",ENSMUSG00000020321
P14206,1,7050.68752056775,Rpsa,ribosomal protein SA,ENSMUSG00000032518
P14211,1,4847.60482005825,Calr,calreticulin,ENSMUSG00000003814
P14576,1,1318.2841724842328,Srp54a,signal recognition particle 54A,ENSMUSG00000073079
P14685,1,3345.477096130374,Psmd3,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3",ENSMUSG00000017221
P14733,1,4497.150585256815,Lmnb1,lamin B1,ENSMUSG00000024590
P14869,1,5256.643938374747,Rplp0,"ribosomal protein, large, P0",ENSMUSG00000067274
P15105,1,0,Glul,glutamate-ammonia ligase (glutamine synthetase),ENSMUSG00000026473
P15116,1,1575.8000564652555,Cdh2,cadherin 2,ENSMUSG00000024304
P15392,1,1653.6597232369804,Cyp2a4,"cytochrome P450, family 2, subfamily a, polypeptide 4",ENSMUSG00000074254
P15532,1,6526.459717242652,Nme1,NME/NM23 nucleoside diphosphate kinase 1,ENSMUSG00000037601
P15626,1,1636.1271512449723,Gstm2,"glutathione S-transferase, mu 2",ENSMUSG00000040562
P15864,1,13881.2186115211,H1f2,"H1.2 linker histone, cluster member",ENSMUSG00000036181
P16015,1,12572.734646529338,Car3,carbonic anhydrase 3,ENSMUSG00000027559
P16254,1,1528.1663412307726,Srp14,signal recognition particle 14,ENSMUSG00000009549
P16331,1,7794.303261112847,Pah,phenylalanine hydroxylase,ENSMUSG00000020051
P16332,1,3642.6391712066065,Mmut,methylmalonyl-Coenzyme A mutase,ENSMUSG00000023921
P16406,1,3164.324883410103,Enpep,glutamyl aminopeptidase,ENSMUSG00000028024
P16460,1,30944.01860107923,Ass1,argininosuccinate synthetase 1,ENSMUSG00000076441
P16546,1,3336.8874944327986,NA,NA,NA
P16675,1,0,Ctsa,cathepsin A,ENSMUSG00000017760
P16858,1,12642.542042900164,Gapdh,glyceraldehyde-3-phosphate dehydrogenase,ENSMUSG00000057666
P17047,1,1619.908003554632,Lamp2,lysosomal-associated membrane protein 2,ENSMUSG00000016534
P17182,1,9715.400058799412,Eno1,"enolase 1, alpha non-neuron",ENSMUSG00000063524
P17426,1,793.7084553179619,Ap2a1,"adaptor-related protein complex 2, alpha 1 subunit",ENSMUSG00000060279
