Protein	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	Symbol	Genename	ENSEMBL
Q99K67	-0.046872393331744915	-0.054004717044669526	-0.0397400696188203	12.173595774853071	-12.920482003047956	4.6907187639951067e-32	1.7456174828867505e-30	61.87683180772295	Aass	aminoadipate-semialdehyde synthase	ENSMUSG00000029695
B2RT14	0.047470407934417584	0.04021641743994225	0.05472439842889292	13.992964092173445	12.865853855006518	7.713158727572443e-32	2.8036435095804017e-30	61.38277773064489	Ugt1a5	UDP glucuronosyltransferase 1 family, polypeptide A5	ENSMUSG00000089943
P00186	0.11413357993560497	0.09666076907537297	0.13160639079583697	12.703715638062022	12.844571395981575	1.7285731429146264e-31	6.14036323267173e-30	60.61679370200539	Cyp1a2	cytochrome P450, family 1, subfamily a, polypeptide 2	ENSMUSG00000032310
Q8BGL3	0.0562856037518223	0.04761395621332911	0.06495725129031549	12.587754282637096	12.7619321496298	2.4767786204125273e-31	8.602677741566178e-30	60.242327250541855	Sult2a8	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 8	ENSMUSG00000030378
Q9CQA3	-0.03370527347488925	-0.038992494870703207	-0.028418052079075287	13.516656716376536	-12.53322946731548	1.5647474574879507e-30	5.286322287977214e-29	58.39315878196069	Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	ENSMUSG00000009863
Q9CQQ7	-0.03172969748593822	-0.03670771346369662	-0.026751681508179824	12.686562962314738	-12.531477466387669	1.589617066762182e-30	5.286322287977214e-29	58.377498790685905	Atp5pb	ATP synthase peripheral stalk-membrane subunit b	ENSMUSG00000000563
P97450	-0.03754854254362219	-0.043482072546762784	-0.0316150125404816	13.20811065978371	-12.441593905335148	3.65670881413897e-30	1.1907158076040022e-28	57.55238486176738	Atp5j	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F	ENSMUSG00000022890
Q9DB77	-0.029641543224843855	-0.034328800407291	-0.024954286042396714	13.118656106818479	-12.432963523945455	3.852320715474336e-30	1.2288116894462014e-28	57.49845602640232	Uqcrc2	ubiquinol cytochrome c reductase core protein 2	ENSMUSG00000030884
P16015	0.03297757968416714	0.027523067545055603	0.038432091823278676	13.741831296970492	11.886541144849442	4.943807799032094e-28	1.5454343179774327e-26	52.67888789603324	Car3	carbonic anhydrase 3	ENSMUSG00000027559
P51660	0.0383878869049239	0.031827755504482344	0.04494801830536546	12.969389168580548	11.504764901896474	1.4123629693289664e-26	4.32847710011995e-25	49.35284838122011	Hsd17b4	hydroxysteroid (17-beta) dehydrogenase 4	ENSMUSG00000024507
Q91VR2	-0.03168478593309868	-0.03714073244156845	-0.026228839424628912	14.262697004441529	-11.417560085875301	2.9434747171279197e-26	8.847405736290266e-25	48.62383741908181	Atp5c1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	ENSMUSG00000025781
Q01853	0.027575304412699654	0.02281133926619626	0.03233926955920305	11.96557984668375	11.380055292371074	4.0673903472055493e-26	1.199496436355146e-24	48.30301557723434	Vcp	valosin containing protein	ENSMUSG00000028452
Q91W64	0.05017823419597375	0.04146650542427705	0.058889962967670455	12.795287528417633	11.32418898514302	6.702188053442647e-26	1.9399110976908994e-24	47.808283680849655	Cyp2c70	cytochrome P450, family 2, subfamily c, polypeptide 70	ENSMUSG00000060613
P42125	0.03010221905482538	0.024829931006854978	0.035374507102795785	12.97176947123552	11.225146413964291	1.5383024357625897e-25	4.3715758310853226e-24	46.983551562472016	Eci1	enoyl-Coenzyme A delta isomerase 1	ENSMUSG00000024132
Q9QXF8	-0.03291268159334561	-0.03874964385600681	-0.02707571933068441	13.77512892606285	-11.085850435427295	5.0485310998782555e-25	1.4090810909124486e-23	45.80499290724983	Gnmt	glycine N-methyltransferase	ENSMUSG00000002769
Q8VC12	-0.07079618378707839	-0.08339541582143649	-0.058196951752720286	12.65726594784948	-11.048071945105262	8.002306715072523e-25	2.194316736080413e-23	45.36027609007697	Uroc1	urocanase domain containing 1	ENSMUSG00000034456
Q64458	0.17214463425615506	0.141644610188582	0.20264465832372813	13.158647561723166	11.104388209380115	1.9504731392474225e-24	5.256188821799519e-23	44.599949666398075	Cyp2c29	cytochrome P450, family 2, subfamily c, polypeptide 29	ENSMUSG00000003053
Q9DB20	-0.03209057272248815	-0.037883291051733554	-0.02629785439324275	13.697322486684007	-10.891499824181322	2.616907530317098e-24	6.932587237094278e-23	44.17351163384757	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	ENSMUSG00000022956
P19157	-0.04291841739491891	-0.050700733767121364	-0.03513610102271646	14.056967813126915	-10.842450528361027	3.954659906340171e-24	1.0301889056016145e-22	43.76418972038711	Gstp1	glutathione S-transferase, pi 1	ENSMUSG00000060803
Q8VCT4	0.031005195444328015	0.025367549991494775	0.03664284089716126	13.046178067707688	10.812580294644967	5.082830686400453e-24	1.3023712070235915e-22	43.51540511001242	Ces1d	carboxylesterase 1D	ENSMUSG00000056973
P25688	-0.039341276085934976	-0.0465102692209455	-0.032172282950924454	14.65105676623837	-10.789042663024095	6.192749168516071e-24	1.5611720887726806e-22	43.31962433410475	Uox	urate oxidase	ENSMUSG00000028186
Q64471	0.04467006766474097	0.03651224722927278	0.052827888100209164	12.905444788616169	10.765953983877502	8.137170901228815e-24	2.018793352162006e-22	43.05898226015006	Gstt1	glutathione S-transferase, theta 1	ENSMUSG00000001663
Q9DCX2	-0.02904410300391193	-0.03441972087304305	-0.023668485134780815	12.928496635760203	-10.622389245347785	2.491059235216962e-23	6.083633726006424e-22	41.94008761019323	Atp5h	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit D	ENSMUSG00000034566
Q8R084	0.044450463521424316	0.03619618626497962	0.05270474077786901	12.8786161096936	10.587497523037268	3.3789859791241396e-23	8.125161669801585e-22	41.64121274678303	Ugt2b1	UDP glucuronosyltransferase 2 family, polypeptide B1	ENSMUSG00000035836
Q9D051	0.037230560255826585	0.030297100470772977	0.04416402004088019	12.01098255185941	10.557293613278945	4.4716155679530077e-23	1.0589598685925078e-21	41.36841097608402	Pdhb	pyruvate dehydrogenase (lipoamide) beta	ENSMUSG00000021748
P56654	0.2573773923457696	0.21075667065194595	0.3039981140395933	13.11732514291148	10.871194655786194	6.434761035169313e-23	1.5011241041745725e-21	41.33163230757086	Cyp2c37	cytochrome P450, family 2. subfamily c, polypeptide 37	ENSMUSG00000042248
Q8K2B3	-0.02734259398629291	-0.03248076416295273	-0.02220442380963309	12.929223262688238	-10.462220328508048	9.388523877473515e-23	2.157979826542809e-21	40.625420642491484	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	ENSMUSG00000021577
Q9Z2V4	-0.0629297273471585	-0.07476468493148622	-0.05109476976283078	12.203399077682844	-10.455184771014554	1.2224817451855334e-22	2.76918690974636e-21	40.38580517172326	Pck1	phosphoenolpyruvate carboxykinase 1, cytosolic	ENSMUSG00000027513
P50285	0.07211115621759527	0.058258635183625465	0.08596367725156508	12.144289135168904	10.235238202005611	6.821179769519928e-22	1.5230719971085212e-20	38.674381112182374	Fmo1	flavin containing monooxygenase 1	ENSMUSG00000040181
B1ATI0	0.12469984654529485	0.10055566735637972	0.14884402573421	12.95342854256176	10.161308063386217	3.334805574905081e-21	7.341269174051608e-20	37.201723337321624	NA	NA	NA
P35492	-0.1024424807534501	-0.12257145528925543	-0.08231350621764476	12.213123088276651	-10.006763708415473	4.47015190330008e-21	9.703954756747256e-20	36.81701742147704	Hal	histidine ammonia lyase	ENSMUSG00000020017
Q9Z2I8	-0.02608126784252669	-0.031237603221248335	-0.020924932463805043	12.755005895190324	-9.944436395518979	6.337674269229487e-21	1.356956833261053e-19	36.45393873634769	Suclg2	succinate-Coenzyme A ligase, GDP-forming, beta subunit	ENSMUSG00000061838
Q9Z2I9	-0.031780728697821205	-0.03814867990122323	-0.02541277749441918	12.532963185223135	-9.81198230418854	1.8253555147409855e-20	3.8554468507299464e-19	35.40691026176757	Sucla2	succinate-Coenzyme A ligase, ADP-forming, beta subunit	ENSMUSG00000022110
Q9WUM5	-0.03170449387510217	-0.03805863617794896	-0.025350351572255382	11.794280567968018	-9.810031879776979	1.941866148305536e-20	4.0468490530687375e-19	35.34824633803095	Suclg1	succinate-CoA ligase, GDP-forming, alpha subunit	ENSMUSG00000052738
P55096	0.02985836195396755	0.02379997490132594	0.03591674900660916	12.655373563886362	9.689505084164189	4.818841584221232e-20	9.849634012688044e-19	34.44631154027024	Abcd3	ATP-binding cassette, sub-family D (ALD), member 3	ENSMUSG00000028127
Q99PL5	-0.02225684109925885	-0.02677325664725862	-0.01774042555125908	12.358026014762872	-9.688627606076805	4.8523468904477245e-20	9.849634012688044e-19	34.439455961937824	Rrbp1	ribosome binding protein 1	ENSMUSG00000027422
Q9CZ13	-0.03454982840393048	-0.041712797847412136	-0.02738685896044882	13.360080501135808	-9.482992966498667	2.4358285988190665e-19	4.881025769172053e-18	32.84345455876223	Uqcrc1	ubiquinol-cytochrome c reductase core protein 1	ENSMUSG00000025651
Q8R0Y6	-0.021624822146220937	-0.026119281309474	-0.017130362982967873	13.316167221964667	-9.459490333161837	2.925191539226685e-19	5.7874359187484914e-18	32.66239974092385	Aldh1l1	aldehyde dehydrogenase 1 family, member L1	ENSMUSG00000030088
Q91VD9	-0.028733051303308166	-0.034784063676814005	-0.022682038929802327	12.190228356984814	-9.33576234156528	7.708107729462587e-19	1.4873793063148177e-17	31.707698400883594	Ndufs1	NADH:ubiquinone oxidoreductase core subunit S1	ENSMUSG00000025968
A0A0R4J135	-0.027161639107421275	-0.03288152285936031	-0.02144175535548224	13.231627265995547	-9.336086184319603	7.688866572229471e-19	1.4873793063148177e-17	31.707171182262275	Selenbp2	selenium binding protein 2	ENSMUSG00000068877
O35423	-0.05436006419025009	-0.06586381987605111	-0.04285630850444907	12.050575954644245	-9.293286121778195	1.538577349018999e-18	2.897345056044212e-17	31.087833778842075	Agxt	alanine-glyoxylate aminotransferase	ENSMUSG00000026272
Q4LDG0	-0.032482114597669594	-0.039385154412594256	-0.025579074782744928	12.193870721179966	-9.25116758211515	1.4642397295644497e-18	2.7909837772063845e-17	31.069991410287543	Slc27a5	solute carrier family 27 (fatty acid transporter), member 5	ENSMUSG00000030382
P97807	-0.02425329429417444	-0.029447323508668584	-0.019059265079680296	12.322738988456852	-9.180344542571323	2.5189111141413322e-18	4.6869738945272646e-17	30.53378302318997	Fh1	fumarate hydratase 1	ENSMUSG00000026526
Q91V92	-0.04689633818890091	-0.05694625455777169	-0.03684642182003013	11.765056843507463	-9.174219303550455	2.639588158745733e-18	4.85373681425833e-17	30.487532850638082	Acly	ATP citrate lyase	ENSMUSG00000020917
Q99JR1	-0.07722897093388685	-0.09373055548270412	-0.06072738638506958	12.513288779778003	-9.207365578163344	4.354073931486592e-18	7.913276226643654e-17	30.13050851126338	Sfxn1	sideroflexin 1	ENSMUSG00000021474
P19783	-0.027910532231190065	-0.033946811273518604	-0.02187425318886153	13.755241743348016	-9.090576847530166	4.9912484846206146e-18	8.967036070646e-17	29.85796932094111	Cox4i1	cytochrome c oxidase subunit 4I1	ENSMUSG00000031818
P17182	-0.02154877498846454	-0.02622773521608497	-0.016869814760844107	12.982420798613903	-9.054529018249236	6.560808684078237e-18	1.1590676829935373e-16	29.587798932388708	Eno1	enolase 1, alpha non-neuron	ENSMUSG00000063524
Q8QZT1	0.019630564629665257	0.015367742519367525	0.02389338673996299	13.08064695652518	9.053744071156622	6.599937542317646e-18	1.1590676829935373e-16	29.58192371831806	Acat1	acetyl-Coenzyme A acetyltransferase 1	ENSMUSG00000032047
P16858	-0.03525118939142898	-0.04304909745088957	-0.02745328133196839	13.329084828125605	-8.887677692115762	2.305122170683175e-17	4.0032288364197806e-16	28.346473792992676	Gapdh	glyceraldehyde-3-phosphate dehydrogenase	ENSMUSG00000057666
Q99LC3	-0.029474540088157294	-0.03601667707823626	-0.02293240309807833	12.875409762442919	-8.857893057944798	2.951298348163225e-17	5.069098151845187e-16	28.1103232568717	Ndufa10	NADH:ubiquinone oxidoreductase subunit A10	ENSMUSG00000026260
P00329	0.023586270570132458	0.01834084379424579	0.028831697346019126	14.334186318702509	8.84038297709974	3.282501229599952e-17	5.576684154200788e-16	27.997394640403897	Adh1	alcohol dehydrogenase 1 (class I)	ENSMUSG00000074207
Q06185	-0.030605615224397555	-0.037423406084884425	-0.023787824363910685	12.953656203132615	-8.825718499706479	3.661815414272782e-17	6.154212357535868e-16	27.88940902138352	Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E	ENSMUSG00000050856
Q99KI0	-0.019915029097634897	-0.024374715010177572	-0.015455343185092223	12.256001084715248	-8.779490318824225	5.165061685670317e-17	8.588288739045433e-16	27.549780216431444	Aco2	aconitase 2, mitochondrial	ENSMUSG00000022477
Q9CPQ8	-0.03190275008327762	-0.03906063365252494	-0.024744866514030302	13.13292098167411	-8.762732860799208	5.894951528140283e-17	9.698746566824487e-16	27.420241187356186	Atp5l	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit G	ENSMUSG00000038717
G3X982	-0.05356401825395031	-0.0656432066427439	-0.041484829865156725	11.921705080304202	-8.718932608710698	8.7479316898352e-17	1.4242726282512935e-15	27.04875807792535	Aox3	aldehyde oxidase 3	ENSMUSG00000064294
Q8VCN5	-0.03396877977512755	-0.041654525893772894	-0.026283033656482203	12.220094200455632	-8.689335066633797	1.0067793312846669e-16	1.6222640152556025e-15	26.890876477229128	Cth	cystathionase (cystathionine gamma-lyase)	ENSMUSG00000028179
Q8VBT2	-0.07847277104665407	-0.09625217456706331	-0.060693367526244824	11.434786645201248	-8.68047363159224	1.4825142148660022e-16	2.3644588957505727e-15	26.568899764509162	Sds	serine dehydratase	ENSMUSG00000029597
Q9DCP2	-0.06555089462999256	-0.08057129440145162	-0.050530494858533496	12.495606420187215	-8.584306945420844	3.399597696445411e-16	5.3672436359032096e-15	25.779220643729836	Slc38a3	solute carrier family 38, member 3	ENSMUSG00000010064
Q9CR68	-0.0346217393178233	-0.04263003071630679	-0.026613447919339814	12.121629277601842	-8.501080673023903	4.628251177679305e-16	7.233956590712754e-15	25.41838827648616	Uqcrfs1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	ENSMUSG00000038462
Q8VDD5	-0.03774636952618439	-0.04651448762191987	-0.02897825143044891	11.920545017127237	-8.463722755601564	5.244326341698987e-16	8.115724823837145e-15	25.262273259835432	Myh9	myosin, heavy polypeptide 9, non-muscle	ENSMUSG00000022443
P06801	0.038611427969938814	0.02959046563893369	0.04763239030094393	12.219118800357453	8.415435247730006	7.749465695278176e-16	1.1874916550705676e-14	24.892104057740056	Me1	malic enzyme 1, NADP(+)-dependent, cytosolic	ENSMUSG00000032418
Q91ZA3	-0.030742627560350774	-0.037964457761274106	-0.023520797359427442	12.11666914974264	-8.369312626664666	1.0442025785482573e-15	1.5845520682242e-14	24.58352233354792	Pcca	propionyl-Coenzyme A carboxylase, alpha polypeptide	ENSMUSG00000041650
Q62425	-0.020375369539106694	-0.025168702430554007	-0.015582036647659381	14.410637385067943	-8.357194985629285	1.1317949214358573e-15	1.7009571751963893e-14	24.503555629881355	Ndufa4	Ndufa4, mitochondrial complex associated	ENSMUSG00000029632
P11714	0.03228124910198912	0.024594986229910503	0.03996751197406774	12.452632241870884	8.257103530538581	2.3177720450783175e-15	3.450169244245153e-14	23.796787589179317	Cyp2d9	cytochrome P450, family 2, subfamily d, polypeptide 9	ENSMUSG00000068086
Q6GT24	0.02481259673387338	0.018871476931910075	0.030753716535836688	12.55582273920638	8.211139927773646	3.255108396416963e-15	4.7997494562261444e-14	23.46752274742277	Prdx6	peroxiredoxin 6	ENSMUSG00000026701
Q9R092	-0.0974372674303616	-0.12062336651419939	-0.07425116834652382	12.739188966316796	-8.268675583418654	3.969623359076262e-15	5.798618046949718e-14	23.407400005833303	Hsd17b6	hydroxysteroid (17-beta) dehydrogenase 6	ENSMUSG00000025396
O88451	0.02026957390756093	0.015333599174114195	0.02520554864100767	13.934921841452137	8.07354599203704	8.498527057275333e-15	1.229925721344569e-13	22.51627568307026	Rdh7	retinol dehydrogenase 7	ENSMUSG00000040134
Q64374	0.059079365741223265	0.04453207332430667	0.07362665815813986	12.993291125504832	7.98512247383988	1.6707948377692502e-14	2.3958278270030627e-13	21.870747017617866	Rgn	regucalcin	ENSMUSG00000023070
Q99MN9	-0.03412461425262373	-0.0425694848827489	-0.025679743622498565	11.887273905704184	-7.944641338794211	2.1144208690053936e-14	3.004399834777664e-13	21.62151669072805	Pccb	propionyl Coenzyme A carboxylase, beta polypeptide	ENSMUSG00000032527
P13707	0.02528089929140541	0.018964547054326188	0.03159725152848463	12.78747915022911	7.869049149871789	3.5481496882913894e-14	4.996178344864361e-13	21.1092532793206	Gpd1	glycerol-3-phosphate dehydrogenase 1 (soluble)	ENSMUSG00000023019
Q9DCY0	-0.027066644605495134	-0.03384708922991779	-0.020286199981072478	12.404761663213717	-7.848240937744374	4.095256904332859e-14	5.715077269171659e-13	20.97150497638341	Keg1	kidney expressed gene 1	ENSMUSG00000024694
P08113	-0.014593226254924227	-0.01827897289970873	-0.010907479610139725	13.201658686945684	-7.78428036096627	6.320789665119333e-14	8.7428267668863e-13	20.54035467300929	Hsp90b1	heat shock protein 90, beta (Grp94), member 1	ENSMUSG00000020048
Q91VS7	0.045374448687186084	0.03384632336769703	0.05690257400667514	14.630436342934262	7.73835683902166	8.694620749158548e-14	1.1920782658714746e-12	20.23186151896858	Mgst1	microsomal glutathione S-transferase 1	ENSMUSG00000008540
Q99L04	0.04637659182237447	0.034627348587339284	0.058125835057409654	12.150784580461783	7.763878666272672	9.676174293665112e-14	1.3151182974781365e-12	20.19989443467221	Dhrs1	dehydrogenase/reductase (SDR family) member 1	ENSMUSG00000002332
