Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|A2AN08|UBR4_MOUSE	A2AN08	UBR4_MOUSE	Ubr4	5180	Mus musculus OX=10090	E3 ubiquitin-protein ligase UBR4 	1:Experimental evidence at protein level	1.0000	0.9990	17	6	17	54	18	54	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 14K(28.0313), 14M(15.9949), 15K(28.0313), 16K(28.0313), 1M(15.9949), 21K(28.0313), 22K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|A2AS89|SPEB_MOUSE	A2AS89	SPEB_MOUSE	Agmat	358	Mus musculus OX=10090	Agmatinase, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	51	51	51	     0	     0	     0	10K(28.0313), 19K(28.0313), N-term(28.0313)		
sp|A2ASZ8|SCMC2_MOUSE	A2ASZ8	SCMC2_MOUSE	Slc25a25	469	Mus musculus OX=10090	Calcium-binding mitochondrial carrier protein SCaMC-2 	1:Experimental evidence at protein level	1.0000	0.9936	3	1	3	4	2	4	     0	     0	     0	20K(28.0313), N-term(28.0313)		
sp|A2AT37|RENT2_MOUSE	A2AT37	RENT2_MOUSE	Upf2	1269	Mus musculus OX=10090	Regulator of nonsense transcripts 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	8	8	8	     0	     0	     0	11K(28.0313), 19K(28.0313), N-term(28.0313)		
sp|A2ATU0|DHTK1_MOUSE	A2ATU0	DHTK1_MOUSE	Dhtkd1	921	Mus musculus OX=10090	2-oxoadipate dehydrogenase complex component E1 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	17	17	17	     0	     0	     0	10K(28.0313), 16K(28.0313), 17M(15.9949), 18K(28.0313), 19K(28.0313), N-term(28.0313)		
sp|A2AWA9|RBGP1_MOUSE	A2AWA9	RBGP1_MOUSE	Rabgap1	1064	Mus musculus OX=10090	Rab GTPase-activating protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	11	1	11	     0	     0	     0	16K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|A2BH40|ARI1A_MOUSE	A2BH40	ARI1A_MOUSE	Arid1a	2283	Mus musculus OX=10090	AT-rich interactive domain-containing protein 1A 	1:Experimental evidence at protein level	1.0000	0.9988	3	0	3	5	0	5	     0	     0	     0	17K(28.0313), 21K(28.0313), N-term(28.0313)		tr|E9QAQ7|E9QAQ7_MOUSE
sp|A2RSQ0|DEN5B_MOUSE	A2RSQ0	DEN5B_MOUSE	Dennd5b	1274	Mus musculus OX=10090	DENN domain-containing protein 5B 	1:Experimental evidence at protein level	1.0000	0.9982	3	3	3	3	3	3	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|A3KGB4|TBC8B_MOUSE	A3KGB4	TBC8B_MOUSE	Tbc1d8b	1114	Mus musculus OX=10090	TBC1 domain family member 8B 	1:Experimental evidence at protein level	1.0000	0.9990	6	6	6	20	20	20	     0	     0	     0	14K(28.0313), 18K(28.0313), 7K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|A3KMP2|TTC38_MOUSE	A3KMP2	TTC38_MOUSE	Ttc38	465	Mus musculus OX=10090	Tetratricopeptide repeat protein 38 	1:Experimental evidence at protein level	1.0000	0.9990	11	10	11	73	68	73	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 14K(28.0313), 16K(28.0313), 18K(28.0313), 2M(15.9949), 3M(15.9949), 8M(15.9949), N-term(28.0313)		
sp|A6H630|ARMT1_MOUSE	A6H630	ARMT1_MOUSE	Armt1	439	Mus musculus OX=10090	Damage-control phosphatase ARMT1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	5	5	5	     0	     0	     0	10K(28.0313), N-term(28.0313)		
sp|A6H8H2|DEN4C_MOUSE	A6H8H2	DEN4C_MOUSE	Dennd4c	1906	Mus musculus OX=10090	DENN domain-containing protein 4C 	1:Experimental evidence at protein level	1.0000	0.9978	3	0	3	5	0	5	     0	     0	     0	12K(28.0313), 8K(28.0313), N-term(28.0313)		tr|E9Q449|E9Q449_MOUSE
sp|A6X935|ITIH4_MOUSE	A6X935	ITIH4_MOUSE	Itih4	942	Mus musculus OX=10090	Inter alpha-trypsin inhibitor, heavy chain 4 	1:Experimental evidence at protein level	1.0000	0.9990	15	0	15	61	0	61	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 2K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		tr|E9PVD2|E9PVD2_MOUSE, tr|E9Q5L2|E9Q5L2_MOUSE
sp|A7MCT6|EKI2_MOUSE	A7MCT6	EKI2_MOUSE	Etnk2	385	Mus musculus OX=10090	Ethanolamine kinase 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	5	0	5	     0	     0	     0	12K(28.0313), 13K(28.0313), N-term(28.0313)		tr|H9KV13|H9KV13_MOUSE
sp|B1AY13|UBP24_MOUSE	B1AY13	UBP24_MOUSE	Usp24	2617	Mus musculus OX=10090	Ubiquitin carboxyl-terminal hydrolase 24 	1:Experimental evidence at protein level	1.0000	0.9985	5	0	5	7	0	7	     0	     0	     0	11K(28.0313), 13K(28.0313), 9K(28.0313), N-term(28.0313)		tr|E9PV45|E9PV45_MOUSE
sp|B2RQC6|PYR1_MOUSE	B2RQC6	PYR1_MOUSE	Cad	2225	Mus musculus OX=10090	CAD protein 	1:Experimental evidence at protein level	1.0000	0.9990	4	0	4	16	0	16	     0	     0	     0	N-term(28.0313)		tr|E9QAI5|E9QAI5_MOUSE, tr|G3UWN2|G3UWN2_MOUSE
sp|B2RRE7|OTUD4_MOUSE	B2RRE7	OTUD4_MOUSE	Otud4	1107	Mus musculus OX=10090	OTU domain-containing protein 4 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	6	0	6	     0	     0	     0	15K(28.0313), N-term(28.0313)		tr|A0A0R4J260|A0A0R4J260_MOUSE
sp|B2RX12|MRP3_MOUSE	B2RX12	MRP3_MOUSE	Abcc3	1523	Mus musculus OX=10090	ATP-binding cassette sub-family C member 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	8	0	8	     0	     0	     0	10K(28.0313), N-term(28.0313)		tr|A0A0R4J015|A0A0R4J015_MOUSE
sp|B2RXS4|PLXB2_MOUSE	B2RXS4	PLXB2_MOUSE	Plxnb2	1842	Mus musculus OX=10090	Plexin-B2 	1:Experimental evidence at protein level	1.0000	0.9990	11	10	11	38	37	38	     0	     0	     0	10K(28.0313), 12K(28.0313), 13K(28.0313), 17K(28.0313), 21K(28.0313), 7K(28.0313), N-term(28.0313)		
sp|B2RY56|RBM25_MOUSE	B2RY56	RBM25_MOUSE	Rbm25	838	Mus musculus OX=10090	RNA-binding protein 25 	1:Experimental evidence at protein level	1.0000	0.9990	8	2	8	22	6	22	     0	     0	     0	12K(28.0313), 14K(28.0313), N-term(28.0313)		
sp|B9EJ86|OSBL8_MOUSE	B9EJ86	OSBL8_MOUSE	Osbpl8	889	Mus musculus OX=10090	Oxysterol-binding protein-related protein 8 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	5	0	5	     0	     0	     0	11K(28.0313), 8K(28.0313), N-term(28.0313)		tr|A0A0R4J150|A0A0R4J150_MOUSE, tr|A0A5F8MPC5|A0A5F8MPC5_MOUSE
sp|C0HKD8|MFA1A_MOUSE	C0HKD8	MFA1A_MOUSE	Mfap1a	439	Mus musculus OX=10090	Microfibrillar-associated protein 1A 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	9	0	9	     0	     0	     0	13K(28.0313), N-term(28.0313)		sp|C0HKD9|MFA1B_MOUSE
sp|C0HKG5|RNT2A_MOUSE	C0HKG5	RNT2A_MOUSE	Rnaset2a	259	Mus musculus OX=10090	Ribonuclease T2-A 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	11	0	11	     0	     0	     0	10K(28.0313), N-term(28.0313)		sp|C0HKG6|RNT2B_MOUSE, tr|A0A338P711|A0A338P711_MOUSE, tr|A0A338P7E3|A0A338P7E3_MOUSE
sp|D3YXK2|SAFB1_MOUSE	D3YXK2	SAFB1_MOUSE	Safb	937	Mus musculus OX=10090	Scaffold attachment factor B1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	14	0	14	     0	     0	     0	10M(15.9949), 11K(28.0313), 14K(28.0313), 1M(15.9949), N-term(28.0313)		tr|S4R1M2|S4R1M2_MOUSE
sp|D3YZP9|CCDC6_MOUSE	D3YZP9	CCDC6_MOUSE	Ccdc6	469	Mus musculus OX=10090	Coiled-coil domain-containing protein 6 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	9	9	9	     0	     0	     0	14K(28.0313), 17K(28.0313), N-term(28.0313)		
sp|D3Z6P0|PDIA2_MOUSE	D3Z6P0	PDIA2_MOUSE	Pdia2	527	Mus musculus OX=10090	Protein disulfide-isomerase A2 	1:Experimental evidence at protein level	1.0000	0.9990	12	3	12	61	10	61	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 16K(28.0313), 2M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|D3Z6Q9|BIN2_MOUSE	D3Z6Q9	BIN2_MOUSE	Bin2	489	Mus musculus OX=10090	Bridging integrator 2 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	15	0	15	     0	     0	     0	13K(28.0313), 16K(28.0313), 17K(28.0313), 20K(28.0313), N-term(28.0313)		tr|A0A5F8MQ05|A0A5F8MQ05_MOUSE, tr|S4R270|S4R270_MOUSE
sp|E9PV24|FIBA_MOUSE	E9PV24	FIBA_MOUSE	Fga	789	Mus musculus OX=10090	Fibrinogen alpha chain 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	174	174	174	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 1M(15.9949), 20K(28.0313), 8K(28.0313), N-term(28.0313)		
sp|E9PVA8|GCN1_MOUSE	E9PVA8	GCN1_MOUSE	Gcn1	2671	Mus musculus OX=10090	eIF-2-alpha kinase activator GCN1 	1:Experimental evidence at protein level	1.0000	0.9990	23	23	23	109	109	109	     0	     0	     0	11K(28.0313), 12K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 18K(28.0313), 19K(28.0313), 23K(28.0313), 6M(15.9949), 9K(28.0313), N-term(28.0313)		
sp|E9PYK3|PARP4_MOUSE	E9PYK3	PARP4_MOUSE	Parp4	1969	Mus musculus OX=10090	Protein mono-ADP-ribosyltransferase PARP4 	1:Experimental evidence at protein level	1.0000	0.9989	5	5	5	10	10	10	     0	     0	     0	16K(28.0313), 18K(28.0313), N-term(28.0313)		
sp|E9PZJ8|ASCC3_MOUSE	E9PZJ8	ASCC3_MOUSE	Ascc3	2198	Mus musculus OX=10090	Activating signal cointegrator 1 complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	4	2	4	12	5	12	     0	     0	     0	12K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|E9Q394|AKP13_MOUSE	E9Q394	AKP13_MOUSE	Akap13	2776	Mus musculus OX=10090	A-kinase anchor protein 13 	1:Experimental evidence at protein level	1.0000	0.9988	2	0	2	2	0	2	     0	     0	     0	14K(28.0313), 17K(28.0313), N-term(28.0313)		tr|A0A140LJJ5|A0A140LJJ5_MOUSE
sp|E9Q3L2|PI4KA_MOUSE	E9Q3L2	PI4KA_MOUSE	Pi4ka	2105	Mus musculus OX=10090	Phosphatidylinositol 4-kinase alpha 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	6	0	6	     0	     0	     0	12K(28.0313), 14K(28.0313), 7K(28.0313), N-term(28.0313)		tr|A0A140T8I9|A0A140T8I9_MOUSE
sp|E9Q414|APOB_MOUSE	E9Q414	APOB_MOUSE	Apob	4505	Mus musculus OX=10090	Apolipoprotein B-100 	1:Experimental evidence at protein level	1.0000	0.9990	47	0	47	216	0	216	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 13M(15.9949), 14K(28.0313), 15K(28.0313), 16K(28.0313), 1M(15.9949), 6M(15.9949), 7K(28.0313), 9K(28.0313), N-term(28.0313)		tr|E9Q1Y3|E9Q1Y3_MOUSE
sp|E9Q4Z2|ACACB_MOUSE	E9Q4Z2	ACACB_MOUSE	Acacb	2448	Mus musculus OX=10090	Acetyl-CoA carboxylase 2 	1:Experimental evidence at protein level	1.0000	0.9990	17	17	17	66	66	66	     0	     0	     0	11K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 18K(28.0313), 19K(28.0313), 3M(15.9949), 9M(15.9949), N-term(28.0313)		
sp|E9Q555|RN213_MOUSE	E9Q555	RN213_MOUSE	Rnf213	5148	Mus musculus OX=10090	E3 ubiquitin-protein ligase RNF213 	1:Experimental evidence at protein level	1.0000	0.9990	14	0	14	43	0	43	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 16K(28.0313), N-term(28.0313)		tr|A0A171EBL2|A0A171EBL2_MOUSE, tr|A0A8I4P9C4|A0A8I4P9C4_MOUSE
sp|E9Q557|DESP_MOUSE	E9Q557	DESP_MOUSE	Dsp	2883	Mus musculus OX=10090	Desmoplakin 	1:Experimental evidence at protein level	1.0000	0.9990	27	6	27	85	20	85	     0	     0	     0	10K(28.0313), 11K(28.0313), 13K(28.0313), 14K(28.0313), 15K(28.0313), 16K(28.0313), 17K(28.0313), 21K(28.0313), 2M(15.9949), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|E9Q5C9|NOLC1_MOUSE	E9Q5C9	NOLC1_MOUSE	Nolc1	702	Mus musculus OX=10090	Nucleolar and coiled-body phosphoprotein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	15	0	15	     0	     0	     0	13K(28.0313), 14K(28.0313), N-term(28.0313)		tr|A0A286YDA2|A0A286YDA2_MOUSE, tr|A0A286YDT3|A0A286YDT3_MOUSE, tr|A0A286YDV7|A0A286YDV7_MOUSE
sp|E9Q5K4|CP2CN_MOUSE	E9Q5K4	CP2CN_MOUSE	Cyp2c23	494	Mus musculus OX=10090	Cytochrome P450 2C44 	1:Experimental evidence at protein level	1.0000	0.9990	11	11	11	58	58	58	     0	     0	     0	11K(28.0313), 18K(28.0313), 6M(15.9949), 7K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|E9Q634|MYO1E_MOUSE	E9Q634	MYO1E_MOUSE	Myo1e	1107	Mus musculus OX=10090	Unconventional myosin-Ie 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	16	11	16	     0	     0	     0	11K(28.0313), 15K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|E9Q735|UBE4A_MOUSE	E9Q735	UBE4A_MOUSE	Ube4a	1028	Mus musculus OX=10090	Ubiquitin conjugation factor E4 A 	1:Experimental evidence at protein level	1.0000	0.9990	5	0	5	14	0	14	     0	     0	     0	14K(28.0313), 9K(28.0313), N-term(28.0313)		tr|G3X9Y5|G3X9Y5_MOUSE
sp|E9Q7G0|NUMA1_MOUSE	E9Q7G0	NUMA1_MOUSE	Numa1	2094	Mus musculus OX=10090	Nuclear mitotic apparatus protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	3	8	29	11	29	     0	     0	     0	11K(28.0313), 12K(28.0313), 14K(28.0313), 15K(28.0313), 24K(28.0313), 8K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|E9Q816|CP2W1_MOUSE	E9Q816	CP2W1_MOUSE	Cyp2w1	493	Mus musculus OX=10090	Cytochrome P450 2W1 	2:Experimental evidence at transcript level	1.0000	0.9946	1	0	1	8	0	8	     0	     0	     0	N-term(28.0313)		
sp|E9Q912|GDS1_MOUSE	E9Q912	GDS1_MOUSE	Rap1gds1	607	Mus musculus OX=10090	Rap1 GTPase-GDP dissociation stimulator 1 	2:Experimental evidence at transcript level	1.0000	0.9990	3	1	3	12	4	12	     0	     0	     0	14K(28.0313), N-term(28.0313)		
sp|E9QAM5|HELZ2_MOUSE	E9QAM5	HELZ2_MOUSE	Helz2	2947	Mus musculus OX=10090	Helicase with zinc finger domain 2 	1:Experimental evidence at protein level	1.0000	0.9990	9	0	9	21	0	21	     0	     0	     0	11K(28.0313), 12K(28.0313), 13K(28.0313), N-term(28.0313)		tr|A2AS03|A2AS03_MOUSE, tr|A2AS05|A2AS05_MOUSE
sp|E9QAT4|SC16A_MOUSE	E9QAT4	SC16A_MOUSE	Sec16a	2357	Mus musculus OX=10090	Protein transport protein Sec16A 	1:Experimental evidence at protein level	1.0000	0.9990	7	3	7	24	9	24	     0	     0	     0	11K(28.0313), 13K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|F6ZDS4|TPR_MOUSE	F6ZDS4	TPR_MOUSE	Tpr	2431	Mus musculus OX=10090	Nucleoprotein TPR 	1:Experimental evidence at protein level	1.0000	0.9990	30	0	30	110	0	110	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 13K(28.0313), 14K(28.0313), 16K(28.0313), 21K(28.0313), 26K(28.0313), 8M(15.9949), 9K(28.0313), N-term(28.0313)		tr|Q7M739|Q7M739_MOUSE
sp|F8VPU2|FARP1_MOUSE	F8VPU2	FARP1_MOUSE	Farp1	1048	Mus musculus OX=10090	FERM, ARHGEF and pleckstrin domain-containing protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	19	14	19	     0	     0	     0	12K(28.0313), 15K(28.0313), N-term(28.0313)		
sp|G3X982|AOXC_MOUSE	G3X982	AOXC_MOUSE	Aox3	1335	Mus musculus OX=10090	Aldehyde oxidase 3 	1:Experimental evidence at protein level	1.0000	0.9990	29	24	29	212	179	212	     0	     0	     0	10K(28.0313), 11K(28.0313), 12K(28.0313), 12M(15.9949), 13K(28.0313), 15K(28.0313), 16K(28.0313), 17M(15.9949), 18K(28.0313), 18M(15.9949), 1M(15.9949), 23K(28.0313), 25K(28.0313), 4M(15.9949), 6M(15.9949), 7K(28.0313), N-term(28.0313)		
sp|G3X9K3|BIG1_MOUSE	G3X9K3	BIG1_MOUSE	Arfgef1	1846	Mus musculus OX=10090	Brefeldin A-inhibited guanine nucleotide-exchange protein 1 	1:Experimental evidence at protein level	1.0000	0.9986	5	1	5	6	1	6	     0	     0	     0	10K(28.0313), 16K(28.0313), 4M(15.9949), 7M(15.9949), 8K(28.0313), N-term(28.0313)		
sp|G5E829|AT2B1_MOUSE	G5E829	AT2B1_MOUSE	Atp2b1	1220	Mus musculus OX=10090	Plasma membrane calcium-transporting ATPase 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	19	0	19	     0	     0	     0	14K(28.0313), 17K(28.0313), 18K(28.0313), N-term(28.0313)		
sp|G5E870|TRIPC_MOUSE	G5E870	TRIPC_MOUSE	Trip12	2025	Mus musculus OX=10090	E3 ubiquitin-protein ligase TRIP12 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	9	0	9	     0	     0	     0	12K(28.0313), N-term(28.0313)		tr|A0A087WNZ7|A0A087WNZ7_MOUSE
sp|G5E8K5|ANK3_MOUSE	G5E8K5	ANK3_MOUSE	Ank3	1961	Mus musculus OX=10090	Ankyrin-3 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	10	0	10	     0	     0	     0	14K(28.0313), N-term(28.0313)		tr|A0A1W2P812|A0A1W2P812_MOUSE, tr|G5E8K2|G5E8K2_MOUSE, tr|G5E8K3|G5E8K3_MOUSE, tr|S4R1S2|S4R1S2_MOUSE, tr|S4R2K9|S4R2K9_MOUSE, tr|S4R2S8|S4R2S8_MOUSE
sp|G5E8V9|ARFP1_MOUSE	G5E8V9	ARFP1_MOUSE	Arfip1	373	Mus musculus OX=10090	Arfaptin-1 	1:Experimental evidence at protein level	1.0000	0.9990	7	3	7	13	4	13	     0	     0	     0	10K(28.0313), 12K(28.0313), 23K(28.0313), N-term(28.0313)		
sp|O08529|CAN2_MOUSE	O08529	CAN2_MOUSE	Capn2	700	Mus musculus OX=10090	Calpain-2 catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	21	21	21	     0	     0	     0	8K(28.0313), N-term(28.0313)		
sp|O08539|BIN1_MOUSE	O08539	BIN1_MOUSE	Bin1	588	Mus musculus OX=10090	Myc box-dependent-interacting protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	33	0	33	     0	     0	     0	10K(28.0313), 15K(28.0313), 18K(28.0313), 19K(28.0313), N-term(28.0313)		tr|A0A3Q4EBK4|A0A3Q4EBK4_MOUSE, tr|Q6P1B9|Q6P1B9_MOUSE
sp|O08547|SC22B_MOUSE	O08547	SC22B_MOUSE	Sec22b	215	Mus musculus OX=10090	Vesicle-trafficking protein SEC22b 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	49	0	49	     0	     0	     0	10K(28.0313), 11M(15.9949), 19K(28.0313), 2M(15.9949), N-term(28.0313)		tr|E9Q6R3|E9Q6R3_MOUSE
sp|O08553|DPYL2_MOUSE	O08553	DPYL2_MOUSE	Dpysl2	572	Mus musculus OX=10090	Dihydropyrimidinase-related protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	12	9	12	64	49	64	     0	     0	     0	11K(28.0313), 13K(28.0313), 14M(15.9949), 16K(28.0313), 19K(28.0313), 1K(28.0313), 20K(28.0313), 23K(28.0313), 9K(28.0313), N-term(28.0313)		
sp|O08573|LEG9_MOUSE	O08573	LEG9_MOUSE	Lgals9	353	Mus musculus OX=10090	Galectin-9 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	64	0	64	     0	     0	     0	12K(28.0313), 3M(15.9949), N-term(28.0313)		tr|B1AQR8|B1AQR8_MOUSE, tr|G3X9T7|G3X9T7_MOUSE
sp|O08582|GTPB1_MOUSE	O08582	GTPB1_MOUSE	Gtpbp1	668	Mus musculus OX=10090	GTP-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	6	1	6	     0	     0	     0	12K(28.0313), N-term(28.0313)		
sp|O08583|THOC4_MOUSE	O08583	THOC4_MOUSE	Alyref	255	Mus musculus OX=10090	THO complex subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	4	1	4	26	5	26	     0	     0	     0	10K(28.0313), 21K(28.0313), N-term(28.0313)		
sp|O08585|CLCA_MOUSE	O08585	CLCA_MOUSE	Clta	235	Mus musculus OX=10090	Clathrin light chain A 	1:Experimental evidence at protein level	1.0000	0.9990	6	0	6	54	0	54	     0	     0	     0	7K(28.0313), N-term(28.0313)		tr|B1AWD8|B1AWD8_MOUSE, tr|B1AWD9|B1AWD9_MOUSE, tr|B1AWE0|B1AWE0_MOUSE, tr|B1AWE1|B1AWE1_MOUSE, tr|Q6PFA2|Q6PFA2_MOUSE
sp|O08586|PTEN_MOUSE	O08586	PTEN_MOUSE	Pten	403	Mus musculus OX=10090	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	     0	     0	     0	9K(28.0313), N-term(28.0313)		
sp|O08600|NUCG_MOUSE	O08600	NUCG_MOUSE	Endog	294	Mus musculus OX=10090	Endonuclease G, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	39	39	39	     0	     0	     0	4M(15.9949), N-term(28.0313)		
